Samples	meh	prkb	rbcl	rbcs	coxs	coxm	cutm	coxl	cutl	mct	abfd	acs	acss	acsb	nirk	nosz	norb	nirs	napa	nrfa	nira	narb	nasa	nr	hao	nit-6	nifk	nifd	nifh	pufm	peth	pete	petc	psba	psaa	apca	apcf	cpca	cpea	mpea	cpet	lhcb1	lhca1	sat	met3	apra	aprb	suox	sir	cysc	cysk	cysm	cysh	cysj	cysi	cysn	cysd
TSC157	0.0	100.21269	126.1786	77.9196	236.5326	411.0963	0.0	48.1837	212.2599	0.0	60.991	0.0	0.0	0.0	186.5192	54.83366	24.6457	0.0	60.2208	0.0	315.9149	180.957	0.0	0.0	0.0	0.0	0.0	0.0	29.6908	154.1755	216.02820000000003	170.67162	1397.2017999999998	2347.9835000000003	492.1531	0.0	65.4976	0.0	242.5276	0.0	132.4398	0.0	12.0175	431.19286	7.47185	23.2943	477.9330000000001	0.0	1240.116	1174.38669	1123.6328600000002	94.3103	984.13643	340.62647000000004	52.4347	172.37380000000002	562.9983299999999
TSC159	0.0	162.616	215.4612	117.0817	769.22363	421.2711	0.0	268.8427	0.0	0.0	0.0	0.0	0.0	0.0	25.3248	0.0	0.0	0.0	0.0	0.0	86.7354	255.253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0204	368.5142	539.1285999999999	1010.6554	395.8045	401.6971	0.0	141.542	62.1004	184.0836	0.0	0.0	0.0	0.0	947.39004	0.0	0.0	1515.6805	0.0	305.22810000000004	1041.52404	830.1560499999999	91.3168	829.1267	309.8271	28.8763	180.1099	302.7176
TSC160	182.1628	0.0	142.8478	127.685	379.3412	365.2013	0.0	0.0	0.0	0.0	186.77	0.0	0.0	0.0	0.0	0.0	12.9109	13.1218	0.0	0.0	40.1158	315.985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.2573	263.7991	0.0	796.5187000000001	109.212	1195.1956000000002	0.0	61.0744	60.8029	60.8029	29.6116	48.062	0.0	0.0	1194.3639	0.0	0.0	445.3258	26.81897	86.48859999999999	2232.82639	1080.95917	15.2154	1324.9385	353.5732499999999	113.4883	145.6277	193.9879
TSC163	0.0	0.0	217.7851	92.1526	426.1722	323.1967	0.0	146.17	0.0	24.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	201.1648	172.3336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0447	0.0	1083.5287	137.837	343.7333	0.0	0.0	0.0	0.0	64.8223	139.4074	0.0	0.0	1141.9870000000003	0.0	0.0	332.557	0.0	265.795	757.78819	688.3984	33.2351	304.3281	382.07046	59.7117	18.6375	119.89653
TSC165	0.0	585.803	377.961	298.4398	561.8619	718.6936	13.6487	154.6556	20.6974	0.0	32.2831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	220.0823	213.0673	220.236	0.0	0.0	0.0	0.0	0.0	0.0	122.64	314.1269	276.6287	839.0026300000001	247.111	639.1462	36.7068	0.0	0.0	27.1034	31.4994	27.2477	0.0	12.3647	954.252	5.76211	0.0	943.3867	0.0	451.69	989.7442	854.80906	60.5491	453.81292	1207.1650000000002	252.7817	263.041	364.2196
TSC167	68.8413	22.7031	277.06429	296.6929	270.7676	256.8917	0.0	18.6629	0.0	0.0	71.7993	0.0	0.0	0.0	0.0	15.3469	0.0	0.0	0.0	0.0	0.0	419.374	43.1491	0.0	0.0	0.0	47.4737	47.4737	47.4737	23.6769	221.11863	242.2323	967.2631	589.1992	775.7746999999999	66.0118	26.2808	0.0	63.7459	42.4069	0.0	0.0	0.0	1272.11532	28.3454	0.0	1986.2722	0.0	32.431	528.5708999999999	599.58416	43.789	860.1515	390.6272	76.4948	126.0597	313.10650000000004
TSC168	0.0	987.8495	116.3985	125.667	1146.6473	1667.1417000000004	0.0	739.2437	72.2671	0.0	86.4502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	324.2802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1169.4941199999998	531.4889	1965.6046	386.9073	848.9237999999999	0.0	0.0	0.0	163.471	0.0	64.03	0.0	0.0	2070.12348	30.7317	0.0	2431.9661999999994	0.0	894.4595000000002	2069.39445	981.9435600000004	180.98809000000003	1259.28035	423.8852	49.22110000000001	67.5918	268.2435
TSC170	124.769	0.0	203.5776	264.535	266.7271	451.8693	0.0	0.0	0.0	71.3664	13.4726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	403.5722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.2049	52.80114	680.719	895.2927000000001	215.3431	288.759	0.0	0.0	0.0	158.43189999999998	0.0	15.5682	0.0	0.0	1887.2699	22.8532	0.0	2283.8914	0.0	0.0	1386.7280000000003	1112.89785	70.17	1304.07717	686.3763	46.8407	187.824	514.16023
TSC171	0.0	1226.3941	129.2925	1634.644	470.99172	1616.8575000000003	0.0	222.1426	20.7803	0.0	177.2299	0.0	0.0	0.0	18.7235	0.0	13.6414	0.0	0.0	0.0	962.9075	79.3892	16.8007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.4617	957.1039	801.5697	507.7642	572.2416000000001	0.0	0.0	0.0	0.0	0.0	20.5603	0.0	0.0	2901.4838	0.0	0.0	867.7987999999999	0.0	1335.377	1408.15569	873.2975999999999	286.9743	563.1125000000001	278.3883	96.11335	81.012	358.19776
TSC173	0.0	0.0	22.7491	1670.86	41.47085	795.5164999999998	0.0	0.0	0.0	21.5292	329.0071	0.0	0.0	0.0	37.5751	0.0	0.0	0.0	0.0	12.1135	37.7949	73.3055	0.0	0.0	0.0	0.0	0.0	12.0571	0.0	28.0122	412.5757	965.9199	334.1311	1027.664	509.1823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	728.1025999999999	0.0	0.0	1757.071	0.0	257.0544	474.30947	471.58357	141.6319	337.1483	272.306	18.3959	0.0	379.3024
