"TSC_NAME"	"PANGAEA sample id"	"Station.label"	"Layer"	"Layer2"	"polar"	"lower.size.fraction"	"upper.size.fraction"	"Event.date"	"Latitude"	"Longitude"	"Depth.nominal"	"Depth.Mixed.Layer"	"Temperature"	"Oxygen"	"ChlorophyllA"	"Salinity"	"Carbon.total"	"NO2"	"NO2NO3"	"NO3"	"PO4"	"Ammonium.5m"	"Iron.5m"	"Alkalinity.total"	"CO3"	"HCO3"	"NP"	"Lyapunov"	"Si"	"Nitracline"	"Brunt.Väisälä"	"Okubo.Weiss"	"Residence.time"	"PAR.PC"	"Gradient.Surface.temp(SST)"	"Fluorescence"	"Density"	"Depth.Min.O2"	"Depth.Max.O2"	"Mean Flux at 150m"	"FluxAttenuation"	"NPP 8d VGPM (mgC/m2/day)"	"Ocean"	"Province"
"TSC222"	"TARA_B100001989"	"TARA_138"	"SRF"	"EPI"	"non polar"	"0.22"	"3"	"2011-12-10 14:08"	"6.3332"	"-102.9432"	"5"	"45"	"26.605515"	"196.2029"	"0.125361"	"33.52041"	"0.0032"	"0.003"	"0.002"	"0.803918"	"0.1575"	"0.01317254656"	"0.00000469"	""	"0.0059"	""	"5.10424127"	"0.020154"	"1.1855"	"64"	"57"	"-0.002795"	"0"	""	"0.37589"	"1.444322"	"21.72899"	"483"	"13"	"1.839439"	"6.08371488"	"234.775"	"[NPO] North Pacific Ocean (MRGID:1908)"	"B3"
"TSC223"	"TARA_B100002019"	"TARA_140"	"SRF"	"EPI"	"non polar"	"0.22"	"3"	"2011-12-21 16:20"	"7.4122"	"-79.3017"	"5"	"26"	"26.555663"	"205.411"	"0.182274"	"28.922675"	"0.04365"	"0.0043"	"0.00275"	""	"0.09345"	"0.01784556669"	"0.0000348"	"0.0037"	"0.01655"	""	""	""	"0.63375"	"52"	"42"	"0.254223"	"2"	""	"0.52326"	"1.782691"	"18.28625"	"360"	"14"	"6.201284"	"3.910561374"	"346.295"	"[NPO] North Pacific Ocean (MRGID:1908)"	"B3"
"TSC224"	"TARA_B100001939"	"TARA_141"	"SRF"	"EPI"	"non polar"	"0.22"	"3"	"2011-12-30 13:35"	"9.8481"	"-80.0454"	"5"	"34"	"27.1673"	"195.502875"	"0.094165"	"34.80515"	""	"0.00205"	"0.0005"	""	"0.0132"	"0.008022052624"	"0.001378918474"	""	""	""	""	""	"1.1195"	"968"	"66"	""	"0"	""	"0.2852"	"1.82175"	"22.518037"	"488"	"13"	"18.283473"	"1.783837916"	"227.9515"	"[NAO] North Atlantic Ocean (MRGID:1912)"	"B5"
"TSC225"	"TARA_B100002052"	"TARA_142"	"DCM"	"EPI"	"non polar"	"0.22"	"3"	"2012-01-09 20:17:16"	"25.6168"	"-88.4532"	"125"	"145"	"24.961605"	"193.38225"	"0.114913"	"36.17927"	"0.0189"	"0.0175"	"0.0615"	""	"0.02"	"0.009340255676"	"0.001168249602"	"0.001"	"0.041"	""	""	"0.044572"	"1.168"	"321"	"154"	"-2.922481"	"25.75"	""	"0.27169"	"1.681699"	"24.25287"	"205"	"14"	"4.063066"	""	"323.202"	"[NAO] North Atlantic Ocean (MRGID:1912)"	""
"TSC226"	"TARA_B100002049"	"TARA_142"	"MES"	"MES"	"non polar"	"0.22"	"3"	"2012-01-10 14:49:35"	"25.6236"	"-88.45"	"640"	"147"	"9.735075"	"108.231313"	""	"35.165212"	""	""	""	"31.001404"	"1.2175"	"0.009340255676"	"0.001168249602"	""	""	""	"25.4631655"	"0.044572"	"8.624"	"740"	"156"	"-2.922481"	"25.75"	""	"0.26197"	"2.638681"	"27.13905"	"654"	"14"	""	""	""	"[NAO] North Atlantic Ocean (MRGID:1912)"	""
"TSC227"	"TARA_B100002051"	"TARA_142"	"SRF"	"EPI"	"non polar"	"0.22"	"3"	"2012-01-09 13:41"	"25.5264"	"-88.394"	"5"	"151"	"24.98456"	"195.54125"	"0.123459"	"36.177285"	"0.018"	"0.0195"	"0.049"	""	"0.003"	"0.009340255676"	"0.001168249602"	"0.001"	"0.0392"	""	""	"0.044572"	"1.218"	"975"	"160"	"-2.922481"	"25.75"	""	"0.30297"	"1.604851"	"24.236425"	"606"	"13"	"5.325081"	"22.33385254"	"320.2775"	"[NAO] North Atlantic Ocean (MRGID:1912)"	"B5"
"TSC228"	"TARA_B100001146"	"TARA_145"	"MES"	"MES"	"non polar"	"0.22"	"3"	"2012-02-02 18:36:58"	"39.2392"	"-70.0343"	"590"	"125"	"5.004169"	"232.660562"	""	"34.963392"	""	""	""	"19.964889"	""	"0.01313080499"	"0.0008945992158"	""	""	""	""	"0.144593"	""	"92"	"100"	"-0.044917"	"3.472222"	""	"2.7923"	"2.860482"	"27.649883"	"176"	"696"	""	""	""	"[NAO] North Atlantic Ocean (MRGID:1912)"	""
"TSC229"	"TARA_B100001142"	"TARA_145"	"SRF"	"EPI"	"non polar"	"0.22"	"3"	"2012-02-02 11:52"	"39.2305"	"-70.0377"	"5"	"128"	"13.993715"	"236.78925"	"0.169817"	"35.12152"	"0.10205"	"0.093"	"3.7925"	"5.013141"	"0.33275"	"0.01313080499"	"0.0008945992158"	"0.0164"	"0.0266"	""	"15.06578813"	"0.144593"	"2.41425"	"105"	"100"	"-0.044917"	"3.472222"	""	"2.1983"	"2.515102"	"26.282555"	"212"	"1026"	"0.977217"	"1.468749847"	"378.0515"	"[NAO] North Atlantic Ocean (MRGID:1912)"	"B5"
"TSC230"	"TARA_B100001167"	"TARA_146"	"MES"	"MES"	"non polar"	"0.22"	"3"	"2012-02-16 12:01:25"	"34.6663"	"-71.2907"	"640"	"194"	"10.6855"	"137.3344"	"0.007712"	"35.36729"	""	""	"20.025"	"21.943329"	"1.3135"	"0.005640432006"	"0.001105931102"	""	""	""	"16.70599848"	"0.04793"	"13.2415"	"772"	"210"	"-4.060752"	"91"	""	"0.76677"	"2.690263"	"27.13082"	"637"	"27"	""	""	""	"[NAO] North Atlantic Ocean (MRGID:1912)"	""
"TSC231"	"TARA_B100001540"	"TARA_146"	"SRF"	"EPI"	"non polar"	"0.22"	"3"	"2012-02-15 12:54"	"34.6712"	"-71.3093"	"5"	"0"	"19.312775"	"213.9635"	"0.126112"	"36.513137"	""	"0.2225"	"0.7375"	"1.279722"	""	"0.005640432006"	"0.001105931102"	""	""	""	""	"0.04793"	"0.944"	"220"	"218"	"-4.060752"	"91"	""	"0.9972"	"1.78383"	"26.097587"	"623"	"956"	"0.496762"	"2.025266857"	"391.969"	"[NAO] North Atlantic Ocean (MRGID:1912)"	"B5"
"TSC232"	"TARA_B100001750"	"TARA_148"	"MES"	"MES"	"non polar"	"0.22"	"3"	"2012-02-27 15:28:31"	"34.1504"	"-56.9684"	"250"	"177"	"18.129194"	"192.246187"	""	"36.565812"	""	"0.0305"	"4.1285"	"3.578039"	"0.179"	"0.00940477817"	"0.0009707277544"	""	""	""	"19.98904469"	""	"1.6225"	"171"	"180"	""	"0"	""	"0.80521"	"2.077387"	"26.450856"	"781"	"13"	""	""	""	"[NAO] North Atlantic Ocean (MRGID:1912)"	""
"TSC233"	"TARA_B100001741"	"TARA_148"	"SRF"	"EPI"	"non polar"	"0.22"	"3"	"2012-02-24 11:40"	"31.6948"	"-64.2489"	"5"	"134"	"20.481195"	"213.6889"	"0.120903"	"36.596745"	""	"0.093"	"0.1505"	"1.009924"	"0.0015"	"0.006396831479"	"0.001041270967"	""	""	""	"673.2826667"	"0.085786"	"0.728"	""	"186"	"0.069438"	"1.333333"	""	"0.12223"	"1.674064"	"25.85157"	"824"	"16"	"1.789729"	"8.035063198"	"382.043"	"[NAO] North Atlantic Ocean (MRGID:1912)"	"B5"
"TSC234"	"TARA_B100001765"	"TARA_149"	"MES"	"MES"	"non polar"	"0.22"	"3"	"2012-03-01 18:50:26"	"34.0771"	"-49.8233"	"740"	"150"	"10.496305"	"152.7195"	"0.00482"	"35.369805"	""	"0.00725"	"20.924"	"20.172519"	"1.34475"	"0.01127437657"	"0.0009838437739"	""	""	""	"15.00094367"	"0.079308"	""	"878"	"150"	"0.275561"	"0"	""	"0.59747"	"2.634028"	"27.170345"	"750"	"14"	""	""	""	"[NAO] North Atlantic Ocean (MRGID:1912)"	""
"TSC235"	"TARA_B100001758"	"TARA_149"	"SRF"	"EPI"	"non polar"	"0.22"	"3"	"2012-03-01 10:48"	"34.1132"	"-49.9181"	"5"	"167"	"18.82554"	"220.9492"	"0.156401"	"36.41274"	""	"0.25"	"0.68"	"0.808032"	"0.06"	"0.01127437657"	"0.0009838437739"	""	""	""	"13.4672"	"0.079308"	""	"165"	"171"	"0.275561"	"0"	""	"0.34844"	"1.734471"	"26.146925"	"748"	"14"	"5.539553"	"3.073442594"	"601.62"	"[NAO] North Atlantic Ocean (MRGID:1912)"	"B5"
"TSC236"	"TARA_B100001778"	"TARA_150"	"DCM"	"EPI"	"non polar"	"0.22"	"3"	"2012-03-05 17:34"	"35.8427"	"-37.1526"	"40"	"61"	"17.585567"	"229.097917"	"0.21402"	"36.285033"	""	"0.04"	"0.1745"	"0.61356"	""	"0.0134359668"	"0.001100776843"	""	""	""	""	"0.073051"	"0.8423"	"129"	"105"	"-0.032539"	"1.388889"	""	"0.44063"	"1.79022"	"26.360683"	"547"	"13"	"0.201174"	"3.03088659"	"627.014"	"[NAO] North Atlantic Ocean (MRGID:1912)"	""
"TSC237"	"TARA_B100001769"	"TARA_150"	"SRF"	"EPI"	"non polar"	"0.22"	"3"	"2012-03-05 9:25"	"35.9346"	"-37.3032"	"5"	"77"	"17.627142"	"229.368083"	"0.191003"	"36.285292"	""	"0.0355"	"0.1695"	"0.120853"	"0.0055"	"0.0134359668"	"0.001100776843"	""	""	""	"21.97327273"	"0.073051"	"0.8358"	"90"	"92"	"-0.032539"	"1.388889"	""	"0.54808"	"1.79022"	"26.349408"	"632"	"15"	"0.412354"	"9.709899984"	"573.697"	"[NAO] North Atlantic Ocean (MRGID:1912)"	"B5"
"TSC238"	"TARA_B100001559"	"TARA_151"	"DCM"	"EPI"	"non polar"	"0.22"	"3"	"2012-03-09 17:42:29"	"36.1811"	"-28.9373"	"80"	"48"	"16.74703"	"228.11655"	"0.16463"	"36.182395"	""	"0.0415"	"0.142"	"1.005795"	"0.022"	"0.02104487177"	"0.001299509817"	""	""	""	"45.71795455"	"0.025897"	"0.6335"	"108"	"108"	"-0.157861"	"37.583333"	""	"0.75617"	"1.900875"	"26.48531"	"170"	"52"	"1.379385"	""	"466.322"	"[NAO] North Atlantic Ocean (MRGID:1912)"	""
"TSC239"	"TARA_B100001564"	"TARA_151"	"SRF"	"EPI"	"non polar"	"0.22"	"3"	"2012-03-09 8:59"	"36.1715"	"-29.023"	"5"	"56"	"17.303005"	"232.28725"	"0.111686"	"36.229605"	""	"0.019"	"0.02"	"0.296016"	"0.0125"	"0.02104487177"	"0.001299509817"	""	""	""	"23.68128"	"0.025897"	"0.6545"	"993"	"118"	"-0.157861"	"37.583333"	""	"1.5662"	"1.76176"	"26.38564"	"699"	"14"	"4.591674"	"16.2495242"	"444.0935"	"[NAO] North Atlantic Ocean (MRGID:1912)"	"B5"
"TSC240"	"TARA_B100001179"	"TARA_152"	"MES"	"MES"	"non polar"	"0.22"	"3"	"2012-03-19 14:59:48"	"43.7182"	"-16.8714"	"800"	"138"	"10.167675"	"174.851333"	""	"35.570583"	""	""	""	"17.58633"	""	"0.0225599464"	"0.0009947619304"	""	""	""	""	"0.033926"	""	"922"	"922"	"-0.093316"	"6.083333"	""	"0.60333"	"2.708962"	"27.385592"	"883"	"13"	""	""	""	"[NAO] North Atlantic Ocean (MRGID:1912)"	""
"TSC242"	"TARA_B100001173"	"TARA_152"	"SRF"	"EPI"	"non polar"	"0.22"	"3"	"2012-03-19 8:18"	"43.6792"	"-16.8344"	"5"	"144"	"14.31675"	"242.8405"	"0.191493"	"35.99167"	""	"0.3105"	"2.159"	"3.209219"	"0.1595"	"0.0225599464"	"0.0009947619304"	""	""	""	"20.1204953"	"0.033926"	"1.236"	"521"	"505"	"-0.093316"	"6.083333"	""	"0.63127"	"1.931107"	"26.88634"	"523"	"14"	"1.522932"	"7.975531073"	"423.271"	"[NAO] North Atlantic Ocean (MRGID:1912)"	"B7"
