TFM	GS1	GS10	GS2	GS3	GS4	GS5	GS6	GS7	GS8	GS9	SS1	SS10	SS2	SS3	SS4	SS5	SS6	SS7	SS8	SS9	WS1	WS10	WS2	WS3	WS4	WS5	WS6	WS7	WS8	WS9
PaaR	13626.863100000002	102510.46230000013	108769.76580000011	82915.82949999993	97842.85870000006	54038.33440000007	92479.07440000009	80092.72130000006	61194.63780000001	88099.06329999989	339824.42750000046	112249.85772999992	133747.71904000008	189938.6292899999	173641.42674	243435.6726999996	230004.66405000005	244660.7694	173122.52480999983	356155.8798000004	1627544.5596399985	1269569.7576299994	1563380.721840005	1528389.72235	1350364.0379000062	1302606.8141999987	1020522.286299999	1096356.5202000004	1425600.016559989	1029717.8130999989
PdhR	8514.6893	44522.6677	48773.508600000016	38515.03399999999	42700.641	26622.8355	43883.66559999999	36194.1426	30753.7282	46403.393299999996	51907.975300000064	14611.760800000002	18026.284300000003	38030.53320000002	30724.714599999978	50671.819799999976	40486.029399999985	43390.891399999986	30359.4644	44451.25330000001	653450.1357799981	665795.3079999989	558566.0839999991	746259.7306000013	528445.1904000004	666074.1400500017	553658.5805999999	603594.9243000008	569811.7474900014	544347.1519199997
PdxR	47228.48180000001	271030.2614999995	249610.1188000004	220105.74679999988	221171.65129999982	121520.5317	247111.83529999963	191071.91590000028	152536.49310000014	201719.6406999998	634971.7606800012	184098.61069999987	240627.3501799999	365338.69355000136	338261.97479000036	470440.6242000003	435852.21636000136	467079.5012000001	316212.8197799995	651764.0013000002	3909934.760070014	3246317.23205001	3705600.9636099953	3920845.1691599987	3378341.768199993	3439913.83318998	2685469.7905999892	3016028.3090200042	3603898.478390003	2778570.0152999945
PhnF	18342.564599999998	91802.54170000002	86483.67190000002	72021.07689999997	84651.14459999993	42629.374199999984	89792.50500000006	65861.37329999999	59646.461400000044	83678.23640000002	74791.18940000005	25216.599499999997	40025.72140000001	55935.20549999999	63444.443999999996	86597.39904999996	73014.17649999993	78574.92919999994	53668.941900000005	71744.00859999996	751383.3432499988	862289.142099999	751837.6832000003	1105154.2880999977	653691.4954999987	791708.9284900019	644367.8493000009	751774.2884000008	1002451.08	710605.1148999969
PhnR	18155.696799999994	91805.01499999998	91720.78700000003	65891.07939999997	83695.9565	49902.79219999996	78960.58449999995	70359.18279999998	49782.19099999999	76592.85070000008	274155.77720000024	91169.7437	118327.69717999987	171401.21549000015	165554.6471999999	209180.6220900001	194163.7955	204802.2508999998	150478.88659999994	275392.97729999974	1515682.456960002	1307488.4476599982	1467011.5874099997	1615301.4268799957	1311144.1565199937	1309259.2644300018	1077241.7570000007	1204063.8920500036	1431405.7736300044	1083150.6166000012
Phr	28521.988400000006	115590.39259999999	119576.91639999994	109893.93050000018	122795.38339999993	57616.67159999998	131737.32420000003	92066.1044000001	90181.55190000006	109280.22790000003	32040.719700000012	10855.137700000001	17860.67089999999	33304.427599999995	41572.48219999997	54923.77229999999	39142.88650000002	44275.75079999998	32149.894100000005	31036.287999999982	798733.4205000013	1047992.7368099972	786765.7295600012	1377146.019709999	623080.0936999988	996175.4247900001	857590.0363000028	1021913.0017500015	897808.2416700023	910777.6670000022
PhrR	13819.5467	77678.37779999999	73882.4535	64085.46780000002	79001.96710000002	37137.85409999998	79089.0412	53340.66100000003	48734.10880000001	65321.645800000006	28130.737100000017	8369.233299999998	14992.678199999997	26100.771199999977	27639.7489	35701.02969999999	28829.4649	33417.413100000005	21603.519399999994	24509.722599999983	416627.33210000093	505078.25100999937	420823.04100000067	656716.1291400028	340436.3419000006	484342.4921300008	410132.6716999991	524784.2942199995	525087.4214000015	448990.6871100009
PhsR	5437.334099999999	24751.90120000001	27359.640300000003	21204.505300000008	23307.67370000001	12640.048999999999	26730.42689999999	16251.542699999996	14163.8617	19761.950200000003	23135.8745	6017.5799	8772.9351	13733.947900000006	13541.745699999998	19914.325600000004	15976.291400000007	20378.88800000001	12839.281200000001	22817.994800000015	247357.49770000044	263071.8402000002	225260.0775000001	298358.5215000001	200289.40869999997	259798.7345000003	205806.38430000012	237836.22256999952	246125.03057000018	206163.4957999998
PrpR	11540.479700000002	51738.10330000001	45038.84360000004	35964.22609999999	50349.15019999998	25146.0823	47599.09040000001	39453.0291	31097.880000000005	41234.5919	93185.13960000002	30498.692399999993	40025.884400000024	58570.76185000002	45044.73157999997	72587.26809999987	63580.15610000002	70505.52580000005	46339.07640000001	101423.29460000004	632269.5620199998	620621.2729999984	642856.2065399996	852694.8089499999	550366.5721999991	603513.1729999996	526553.3302000003	573649.4509000008	676609.4986899998	476390.5122
PsrA	25361.2956	159925.1478	171452.97609999985	143592.6872000002	165248.7002	78349.24889999998	153618.94530000002	125277.07969999997	108971.85029999999	145146.29729999974	164053.18029999998	56477.66659999992	73108.83499999993	101337.06369999985	91383.04440000001	128317.53200000006	111581.37479999996	130534.3514400001	83946.69910000006	167497.52269999988	1472555.4053199973	1620458.8932999985	1403739.9681999972	2021559.2797499832	1201738.5524000067	1532161.3566100094	1338089.1597000035	1515372.6997100138	1561986.100119997	1253357.247730003
PurR	8134.669699999999	33246.07749999999	40559.26590000001	34079.957399999985	37577.3847	15803.997599999999	35646.14370000002	32960.674000000006	25112.21299999999	38930.86449999999	93773.03719999998	29366.169000000005	32435.789800000013	44041.439499999986	28090.924799999982	53924.52680000001	51315.76109999998	57980.57029999999	34424.238600000004	95316.09230000003	419627.16390000115	378782.6208999993	377179.0456000003	437293.0266199997	346116.7096000003	379216.4675000006	310296.24219999986	342696.17413000047	413095.97273000015	292390.8235
QorR	7053.310000000001	45352.49020000001	49471.37379999999	40460.155999999995	44944.705799999996	24264.7467	43136.70429999999	38716.26009999999	30427.040099999987	43459.0321	118102.5846999999	36857.18820999999	46104.4126	71594.68769999997	59479.59169999997	88541.98450000005	77085.60689999998	84093.21840000007	56550.07580000002	119474.3218999999	583645.2096000002	514573.7622000005	580516.6529500012	617503.0260999969	511969.1070000005	497916.398099999	394113.0872000005	440550.6670000006	558042.8624000013	419240.7178200001
RbkR	24956.9693	136895.38410000008	134136.41990000004	104537.41120000002	134777.3375999999	61448.791299999975	128557.91039999994	101118.41339999992	89215.41760000006	117748.54739999997	130498.7221	38692.52030000001	52261.346399999966	80435.14739999997	76145.5745000001	109746.03840000002	96495.47800000005	109822.18279999997	66622.89570000005	131439.2776000001	1130168.282759998	1273728.9918800048	1127542.2438500035	1531076.5507399961	960930.679099999	1190127.1684800019	999744.8645000062	1151630.7015499994	1201338.054629997	1030131.37269
RbsR	24170.0393	140401.89370000002	145371.54010000025	109606.5904000001	128755.90260000002	64495.64029999993	134083.86170000018	106041.39809999989	79859.50599999996	122582.7720000001	419261.6858000004	138366.39705999993	163706.85860000007	211731.97830000002	168998.58709000013	274824.8152800003	258095.72794999985	285298.89559999947	188481.71480000005	424020.95839999977	1812382.430299997	1474902.9553999999	1753367.353450006	1815038.1609599974	1565461.489900001	1535592.8475500008	1234343.8517999975	1348295.9264999973	1704789.7541199971	1203676.4038699984
Rex	36945.392800000016	219380.5331000001	209486.82469999976	184336.49590000007	188289.11239999966	94730.05170000003	209827.63259999998	166573.37240000005	125870.2071000001	174358.57739999983	310706.4807000004	98097.22700000007	116623.12050000003	178315.54099999994	157571.10310000004	230910.0171999999	219482.4419999997	239412.6321	146579.74988000013	317150.4558000002	1811879.3394200057	1835050.88809001	1823091.0742999907	2336550.824700008	1564601.289290008	1805438.6159699939	1467808.3024000006	1694931.492440002	1891252.2557899856	1484292.784000001
RutR	20902.593700000005	152572.2788000003	144336.56110000005	119545.4589000001	126731.96669999995	72334.931	134607.57520000005	113803.50670000001	85424.0980000001	118374.84400000006	370691.9879000007	118478.48099999996	148705.53949999993	214516.20659	198097.24360000005	272678.4730999996	252808.7750999997	274300.3224000003	190998.32380000022	378434.6199999996	2369856.2453300073	2044316.5429599993	2261348.3743900033	2504513.716589992	2045168.6643999966	2109493.2700999975	1687455.752679999	1883228.4902100035	2237456.1089799916	1717703.7441900058
SahR_SamR	51824.99889999999	246671.44379999978	226338.02900000007	204768.01169999994	240594.38469999988	123045.14639999993	256513.4513999999	181727.55960000015	163018.66990000015	217908.90709999975	81456.62490000001	23570.412000000008	44263.503499999984	76227.15340000004	87523.04330000008	118450.90740000017	95452.18184999998	100381.18590000008	69184.34700000004	77828.74310000002	1429236.9494500055	1794089.7738300073	1391343.1300199968	2172074.66660002	1138933.016100004	1646133.497829995	1380563.493650001	1599781.798639996	1693389.0409799959	1499711.6700199964
SdaR	25017.482099999997	119025.29880000002	133753.81510000018	92733.9734000001	117635.71770000008	66461.47109999998	132211.94980000018	83339.37330000004	76900.58250000003	103276.67859999994	177585.96670000022	55043.36999999998	70023.5674	98082.33910000003	87074.11579999997	131171.76511000012	120594.61920000004	135148.74349999992	82032.52180000002	177590.56859999985	1350921.9388300038	1331097.1323600004	1251143.7900400027	1626654.8798000002	1156489.7231000008	1338588.906280006	1063083.041599995	1241276.100760001	1360343.8720699998	1093233.233739999
SiaR	13113.542500000001	54076.33589999996	51197.360599999985	48430.67069999997	58784.254100000035	29337.34740000002	56546.84440000002	41645.31950000003	38856.52249999999	49613.238000000034	71714.37539999998	21843.646900000007	28106.012800000015	47097.37899999999	36122.62310000003	51389.00369999996	51668.03149999999	56601.57530000003	38884.20170000002	75329.80810000013	529230.9832699996	587367.0381999995	536309.0765599993	708419.2972999985	450967.80059999874	539300.2776000001	456531.298700001	528543.3011500005	550395.8815199997	456815.47277000104
SoxR	10321.9946	54310.35380000005	51075.070199999966	40409.69360000001	49001.84319999999	28318.263599999984	51063.70460000002	44149.16690000002	35597.51750000001	44390.43569999998	170977.77819999977	52113.75509999999	67807.70789999998	98678.13059999997	94094.54829000002	129176.95489999995	118591.67380000022	129154.0337	89917.72789999998	166125.98789999998	1066000.7318900009	1124351.5252499974	1087135.6469000005	1383486.6862999888	1004298.8932000005	1019032.3500600014	852298.6933000003	971419.9072000012	1129112.0002000018	847308.5651999998
ThiR	28199.333799999997	131352.2385	141197.50100000005	116241.75209999995	145287.9206999999	68201.22499999996	139974.0685999998	102587.70799999994	105481.46099999994	118440.74780000008	35520.68820000001	7845.719999999998	16224.070400000008	34294.26890000002	37936.964400000004	51546.31809999998	37219.292200000025	43339.87870000001	28324.832700000003	32486.72750000002	785061.5642799998	1014040.8560000007	772615.9236099992	1225925.2515699952	606394.7834999986	945949.595400002	817419.3243999996	943107.4460800018	850814.6739900012	830034.7374999992
TrpR	16720.644699999997	86870.62070000003	84238.26430000002	67497.82050000002	76992.40080000006	42159.936099999984	87437.82680000008	62324.83820000003	54836.113699999994	68903.32399999998	82176.13190000002	20933.418899999997	34941.3061	58915.64029999999	57345.38579999998	80272.81290000009	69504.76170000006	78119.7848	47928.083899999954	78234.35495999994	652121.6960999996	700561.0203999985	662551.5640399992	934867.8776899996	569300.4039999996	699578.8359100011	573325.4902000001	670488.0628599966	811180.35368	582054.1634399983
TtrR	7424.8829	42175.78950000002	41730.74940000001	36777.772600000004	34911.8673	19835.112800000003	36060.63900000001	28767.4605	24095.2369	31241.203700000016	38495.94190000002	12360.576899999995	14930.3699	23359.32300000001	22319.571679999986	33944.786	30672.470300000004	35041.3788	21416.259100000003	37246.25769999999	390580.65929999994	388729.76330000116	362231.4010000004	435399.7069800006	316102.1076000008	393831.99939999933	300835.89609999943	340927.9433699996	370083.8295000007	317120.3118999995
TyrR	16310.2007	109426.14830000004	97420.54370000005	77665.37790000006	95146.96119999989	49565.07250000001	99741.77149999997	74545.16000000002	62149.37409999998	80094.56100000002	77239.31629999992	20461.126200000002	30252.802399999997	47170.96739999998	43572.70879999998	62545.161400000005	57093.715899999974	62912.092299999975	33447.00180000001	75301.1026999999	749419.7727999982	812433.9482299992	736477.6927000013	1028727.29567	629634.6449999994	801868.4672500008	693537.0371400022	803691.5373400009	809711.9300600024	673161.8883300001
VanR	7542.804099999999	41260.58390000002	33648.4557	30061.423200000005	33073.42609999999	15863.865199999993	31243.18209999999	23290.169300000005	21111.617899999987	32171.852100000004	85642.28540000001	25900.43359999999	33371.84739999999	53647.331399999995	38886.4629	70394.99789999997	66659.54479999996	71992.45799999988	40408.75018000002	92130.04889999995	739937.7236999968	720312.8435000003	715713.8862999999	867169.0712699987	646946.6833700024	698100.3220000002	585526.7449999992	657172.5599700012	722423.9777999996	598211.096899999
XylR	10523.0693	58814.49559999999	69647.29720000004	60622.61809999996	70343.83949999997	30012.632900000004	59345.238300000005	51072.86000000002	49978.660300000025	60582.59940000001	49087.73250000002	18843.687200000004	21208.08969999999	30001.771699999998	31822.17059999997	46948.47219999997	38900.572600000014	45072.276400000046	28051.502400000005	44852.810499999985	574083.0813000007	689406.4177100003	573961.0568000004	829611.4912099998	484614.0360699991	650600.9691399996	549528.6286000008	625100.4380999997	622372.3936000004	547242.1312999993
ZntR	5548.6264999999985	29382.397500000006	28830.24649999999	21156.493199999994	24637.082199999997	15309.348200000002	24344.34040000001	20700.971999999998	17314.519199999995	24053.07890000001	100064.14439999999	32230.923000000024	42901.74689999997	53372.43890000002	58830.580799999974	75251.76610000005	68017.45782000004	74689.33649999996	55964.29959999997	98569.75059999988	630719.3049000003	564681.5340000011	633144.2321599999	691192.1811699986	570459.1904000004	566734.4753999998	442922.87059999997	505254.9932900008	602787.4713599999	461561.04480000015
Zur	116563.36769999996	621378.1958000009	610687.4796000011	504214.0489	592629.5534000009	300660.01870000036	602573.9568999991	451585.6826999993	395105.59020000056	538005.8300999998	554416.8843999989	174779.3331999999	227675.4848999998	355266.1261999997	313070.7080999999	485934.01548000093	420056.7428499991	474207.0564600004	297370.14177000034	551925.869760001	4588373.438169942	4915334.344590049	4557258.701729987	6169223.771360023	3797159.0290200072	4789937.367699986	3967401.3278999734	4575630.007080022	4888231.34009002	4023732.395510009
