TFM	GS1	GS10	GS2	GS3	GS4	GS5	GS6	GS7	GS8	GS9	SS1	SS10	SS2	SS3	SS4	SS5	SS6	SS7	SS8	SS9	WS1	WS10	WS2	WS3	WS4	WS5	WS6	WS7	WS8	WS9
FabR	12990.8619	87402.83649999998	89624.94	77952.1963000001	88509.53879999995	44097.354599999984	87422.37079999998	66495.9951	55460.07169999997	77201.24859999999	120065.8227999999	33786.878600000004	45613.80679999995	73104.3925	65763.85441999999	93130.44538000005	85169.20440000002	94184.66930000005	61296.524900000055	120893.51980000001	755634.9588800017	715360.7787599983	756794.0997000033	987360.2137600038	666474.4206000016	705509.9358000017	570420.6730999984	700998.2751	971472.7939500007	592959.5082399987
FadP	3978.9957999999997	18826.377299999993	19208.9995	10600.415299999999	13484.962200000002	9466.9132	15497.3474	10969.151699999997	8591.5045	14494.0513	142240.95699000006	40426.69580000001	46839.541949999955	68154.63039999998	60538.16310000001	80142.29827000003	83168.75159999996	87096.96520000012	58989.02270000001	144570.94730000015	382455.64653	222125.8354000003	397546.82360000006	307788.461900001	353410.74130000017	252264.84370000008	178947.0033000002	197302.62320000018	301373.01959999965	178447.02690000023
FadR	5810.2701	36862.23749999998	29349.546099999974	27715.153700000006	28383.532600000002	15140.1128	26900.014100000004	26363.405999999995	15900.739000000001	28027.476099999996	96280.10409999997	32642.791810000002	41386.06696000001	55585.01409999999	54723.52360000004	68603.29168000004	63587.06820000003	70246.90040000006	51628.27079999998	92711.56869999997	545720.7264000007	502958.568000001	546808.8523000006	635406.6244900018	514939.9157000012	489504.4061000008	419788.9461999997	466699.867	555861.9991399989	419973.8972699998
FixJ	2477.9268	20758.365100000006	18077.7092	12890.525499999998	15494.891699999995	9597.676099999999	16420.187200000004	15759.551400000008	12465.778700000003	15672.409799999994	76246.83580000007	23553.085920000005	27327.693399999996	41349.61250000002	38819.43220000001	48271.80940000001	46789.34299999998	50272.87589999997	39256.23309999998	77693.68019999997	322842.46550000034	254384.01459999988	320025.9581	292056.7488000005	272706.0836000002	259733.83189999947	184018.36190000025	198811.6187999997	280318.2790000003	208652.39330000017
FnrN_FixK	9798.229200000002	40050.61260000001	43565.94180000005	31576.913400000005	41996.138100000004	21200.7184	36656.08620000001	38604.360499999995	24927.22890000002	44355.3987	176673.51869999993	56232.01480000003	64161.54130000002	96740.48609999997	77100.25339999997	116798.6797	115133.07390000002	120067.2586000001	81675.07410000006	189472.3464000001	968304.5561999995	841823.5461599994	965053.6976300005	970015.3509100006	842408.283900001	867110.5494700001	668076.242000001	734144.9534700009	905769.8164399997	708631.2553399988
FruR	9207.970299999999	50913.1037	50391.65850000001	41147.567300000024	44597.502400000005	25311.167200000004	45031.646700000005	45413.408700000036	29238.326000000023	47828.2919	197830.80242999975	61852.43179999996	70564.40829999998	105006.4075000001	80097.62930000002	128688.47435000006	127412.21316999989	135475.6594	89636.7300000001	201268.23210000017	838459.6231000023	630006.0016000005	831200.6676	749980.3330000016	747050.8359	665731.7380299994	508024.93929999875	566947.0997000018	749783.2509399988	514871.65058999887
FUR	76673.40430000002	379869.7959000001	368225.9267999993	299960.6268999995	360996.8805000001	177637.84509999998	364530.8914999998	281307.3502	252268.63000000035	330270.8565999997	342100.56940000074	113444.45949999997	145256.1440999999	220528.75459999987	184681.689	301286.0164100004	263093.76698000025	289928.63126000017	182380.88516999988	337188.0261000005	3289881.585210011	3807027.1421300005	3323306.8501199945	4537041.846380001	2690647.9404999926	3561774.9720899947	2922866.3886999898	3411091.2727000136	3586592.2680800096	3042097.544329994
GguR	4188.7729	22116.677100000004	20750.131899999997	16143.6666	21690.7542	11883.327000000007	18423.179500000002	14555.646599999998	10309.261999999999	18291.6036	70083.50920000003	20697.667599999986	27331.009230000003	37352.21176999999	36718.50960000002	45803.19609999997	47027.44180000003	50251.076600000015	34505.4732	80520.64220000009	261838.49244000003	220875.1708999997	280433.1671000002	323320.5398999999	249627.34619999983	213626.8150000003	175919.55869999988	191520.52409999992	269620.8397	159199.78770000002
GlcC	7872.5183	42336.7185	39201.38789999998	31358.099400000003	35046.03380000001	17703.38570000001	34641.51459999999	36282.299899999976	20686.06490000001	33565.511000000006	185519.74409999984	58521.252210000035	74327.28951999993	114631.71160000007	107246.22990000011	130977.31929999987	132739.80034999992	134220.13036000007	105635.57170000006	185581.71999999988	888889.0709199978	660613.9047000025	866935.8454600015	825567.7519500005	811492.3409000045	715890.400640001	559442.1423100011	629562.3162999992	744756.8253000014	566353.9860999997
GntR	16814.3216	102278.49770000007	103509.06300000001	85973.39740000012	91383.0617999999	50550.10989999998	95111.0385	80789.54239999998	57452.041399999995	81860.00689999996	313593.56130000023	92493.70760000004	119448.23929999991	180116.8606299999	153031.32499999987	230019.18356000015	209057.07100000026	223541.3076700001	154790.64195000002	318630.0739700004	1398992.1172799983	1035441.0873199975	1326386.7248699989	1195302.8417299949	1207945.6647999974	1098281.73089	835861.6115000027	920596.5883999985	1127603.2186899947	899714.9614999989
GulR	6743.708799999999	34720.39800000001	33557.9323	29254.2241	35422.41699999999	17392.369500000008	34656.293600000005	27748.064199999983	24080.172600000005	32487.826900000007	42433.19079999999	12758.547100000002	15671.118799999998	28219.301199999998	24843.9742	42407.63250000001	29513.05720000001	37727.722300000016	19163.117599999998	44138.47300000001	399936.53899999923	422271.3297000005	381052.29833999946	468477.6171000007	321089.5502999998	402752.34409999946	326407.45610000036	371455.23309000017	401429.91849000135	362584.49869999953
HcpR	16916.3909	87927.03700000014	87461.57950000011	75013.10610000005	80960.42139999992	42069.36130000003	81841.3421	75561.63570000007	52769.673700000036	81767.34310000003	215485.5811999999	61943.89460000003	68434.57469999998	116895.85049999987	99688.00270000001	153343.4999	137832.4742999998	160132.00520000013	100505.11449999995	233175.9706599997	1163020.3632700036	1040129.2633699975	1124305.529200002	1214120.5824100003	994961.4496100014	1068893.0590000064	835451.6019000041	936736.5972900005	1091518.030950005	879799.5771400002
HexR	26065.5831	111751.81280000015	120806.07440000007	100067.91489999993	112341.34540000005	58311.63649999998	120110.08069999998	91121.3095	77673.51270000008	106498.90700000005	74945.33299999997	26784.9116	37567.55009999999	60234.64580000006	53569.230700000044	81865.94499999995	70813.08539999998	75245.58629999992	48719.71790000005	70230.42050000001	990579.1293899961	1130620.8661599993	940280.4780199961	1432703.0783999965	821841.7411000023	1111138.7028000003	933817.6426000028	1094249.6324000026	998985.6052999977	910284.7335600004
HisR	15809.2242	88159.77060000006	93858.0919000001	80253.49260000001	80945.59969999998	41913.424399999974	87790.87290000005	65111.52069999999	58379.60910000003	64906.00429999997	50728.97300000003	15148.001399999997	20568.84379999999	33981.4141	37071.56789999997	44203.24230000002	42380.403999999966	41963.66990000002	28937.294599999994	50223.04149999999	473010.7521000002	605660.8393	476043.51186999894	741980.2772000014	414825.8496999996	551184.4946000013	450288.8890000007	547532.8659000008	571226.271100001	488674.9598999984
HrcA	30597.2465	143677.72340000002	146832.28100000008	116575.46420000007	128175.92719999992	67772.29910000003	133327.1009	104342.04060000011	83657.3132	117878.08689999998	381306.0634999999	120733.93289999997	152859.34569999998	209414.2696900004	199092.4270999998	267487.50837999996	249805.32090000022	267101.59320000076	192643.37751000008	381956.9379799999	2059707.2432199887	1818755.564460005	2045033.805879996	2194889.4300499964	1867958.5423999887	1791297.5039100072	1368154.0298099907	1581136.5922700046	1977208.090450001	1466150.381870007
HutC	28672.1866	154250.87909999993	140922.1747000001	127932.11970000004	150725.91209999993	79038.5315999999	148969.0330000001	108868.22360000007	93452.15420000009	131116.99679999985	80658.92449999996	21409.478410000007	38113.427099999935	68568.39240000001	73176.319	104265.12639999998	84798.09270000002	91190.7205399999	58648.25590000007	70531.04940000005	991368.5400100021	1151844.5247799954	1005654.9343099978	1491572.5259499939	846860.0857999976	1096767.765989998	896923.2093000008	1095879.9147900012	1300146.0060600012	967255.3996000002
HypR	20305.867099999996	108088.03620000002	92175.9767	83729.92940000008	96977.02099999994	44594.3551	97435.7891	72567.44319999998	64849.20099999996	78382.2177	73436.23219999998	23439.760000000002	35530.798200000005	53591.25879999998	51072.26269999996	75405.97969999995	67982.35869999998	72881.64300000003	42806.7717	72783.36430000006	708305.1933000003	780433.4855000001	703504.3442299981	959574.1222300017	580864.1868999997	750689.0932199989	619972.8055999976	769323.7474099966	783037.9187900024	661836.6108999997
Irr	5552.598100000001	26516.938800000004	23083.42729999998	18108.5648	24826.556899999992	11085.030400000003	21108.536999999993	19617.742100000003	17015.349799999996	21032.517600000003	42934.92876999998	14251.584800000004	17779.934700000005	28845.413700000005	25524.82909999999	35115.82680000004	33068.100800000015	38515.93759999998	23350.707199999983	43272.54780000004	399451.8098000004	445366.0054000007	377230.88375999936	483176.8607899985	354242.0573	404157.6879000003	341579.89209999976	388962.93636999954	405641.9282000013	355662.13190000085
IscR	39449.599900000016	218438.52969999958	211701.67089999965	172083.7120000001	206673.41499999983	104357.34199999993	207304.37849999996	154309.28629999986	146424.70819999982	186041.54279999985	248364.24069999973	82601.47869999998	112841.79430000002	152297.2317999997	143531.19499999998	209506.3312999998	195423.83869999993	209696.80521000037	134691.07700999998	252604.51848000012	2172965.9625599827	2480637.692999993	2176801.7127199955	2739541.4164199973	1886230.110600002	2293173.5769700008	1774459.1137999964	2084099.1790299949	2268818.5738299997	1902557.2084999927
KdgR	30640.48549999999	168223.62989999994	173796.0397	148779.37530000004	166997.43980000014	76941.7852999999	169621.90209999992	131769.4311999999	125429.11800000007	135160.13679999998	64834.82568999997	18715.218800000002	28019.771399999998	43813.88909999999	41298.1625	60418.86479999998	53653.9544	60067.82607999999	37830.8026	60492.983600000014	1052158.307970004	1388121.3444799983	1055686.4530399984	1962849.5448599912	800502.7893000008	1252618.2124400046	1262546.0265999998	1434593.766790001	1282065.2031499997	1070831.738800001
