Matrix_subsample	Top1	Top2	Top3	Top4	Top5
MX_polar	Oxygen (max: 0.77, avg15: 0.65)	Iron.5m (max: 0.59, avg15: 0.61)	Temperature (max: 0.65, avg15: 0.59)	CO3 (max: 0.66, avg15: 0.57)	Brunt.Väisälä (max: 0.57, avg15: 0.50)
MX_srf	Fluorescence (max: 0.74, avg15: 0.66)	Oxygen (max: 0.75, avg15: 0.66)	Temperature (max: 0.71, avg15: 0.65)	Carbon.total (max: 0.70, avg15: 0.61)	ChlorophyllA (max: 0.68, avg15: 0.57)
MX_srf-nonpolar	HCO3 (max: 0.94, avg15: 0.77)	CO3 (max: 0.57, avg15: 0.50)	NPP 8d VGPM (mgC/m2/day) (max: 0.47, avg15: 0.48)	Fluorescence (max: 0.59, avg15: 0.46)	Mean Flux at 150m (max: 0.56, avg15: 0.45)
MX_srf-polar	CO3 (max: 0.79, avg15: 0.75)	Oxygen (max: 0.72, avg15: 0.71)	Iron.5m (max: 0.72, avg15: 0.68)	NO2 (max: 0.68, avg15: 0.64)	Brunt.Väisälä (max: 0.67, avg15: 0.60)
guidi_all	Fluorescence (max: 0.46, avg15: 0.58)	Temperature (max: 0.67, avg15: 0.54)	Carbon.total (max: 0.52, avg15: 0.46)	NO3 (max: 0.49, avg15: 0.42)	ChlorophyllA (max: 0.46, avg15: 0.40)
guidi_epi	Fluorescence (max: 0.52, avg15: 0.54)	Temperature (max: 0.60, avg15: 0.49)	ChlorophyllA (max: 0.47, avg15: 0.51)	Carbon.total (max: 0.54, avg15: 0.51)	Oxygen (max: 0.55, avg15: 0.47)
guidi_epi-nonpolar	HCO3 (max: 0.71, avg15: 0.51)	Fluorescence (max: 0.43, avg15: 0.39)	CO3 (max: 0.39, avg15: 0.41)	NO3 (max: 0.36, avg15: 0.38)	ChlorophyllA (max: 0.37, avg15: 0.36)
guidi_nonpolar	NO3 (max: 0.59, avg15: 0.58)	Fluorescence (max: 0.49, avg15: 0.55)	Temperature (max: 0.59, avg15: 0.47)	Density (max: 0.44, avg15: 0.42)	HCO3 (max: 0.72, avg15: 0.43)
guidi_polar	Iron.5m (max: 0.44, avg15: 0.51)	Latitude (max: 0.55, avg15: 0.52)	Oxygen (max: 0.56, avg15: 0.50)	NO2 (max: 0.66, avg15: 0.49)	Temperature (max: 0.59, avg15: 0.49)
guidi_srf	Fluorescence (max: 0.57, avg15: 0.62)	Oxygen (max: 0.61, avg15: 0.55)	Temperature (max: 0.69, avg15: 0.54)	Carbon.total (max: 0.63, avg15: 0.58)	ChlorophyllA (max: 0.57, avg15: 0.57)
guidi_srf-nonpolar	HCO3 (max: 0.94, avg15: 0.71)	NO3 (max: 0.43, avg15: 0.48)	Fluorescence (max: 0.51, avg15: 0.44)	ChlorophyllA (max: 0.34, avg15: 0.40)	Mean Flux at 150m (max: 0.37, avg15: 0.42)
guidi_srf-polar	CO3 (max: 0.74, avg15: 0.62)	Oxygen (max: 0.73, avg15: 0.64)	NO2 (max: 0.69, avg15: 0.59)	Iron.5m (max: 0.48, avg15: 0.60)	Temperature (max: 0.69, avg15: 0.55)
salazar_all	Fluorescence (max: 0.27, avg15: 0.33)	PAR.PC (max: 0.48, avg15: 0.37)	Mean Flux at 150m (max: 0.33, avg15: 0.32)	Longitude (max: 0.32, avg15: 0.27)	ChlorophyllA (max: 0.20, avg15: 0.31)
salazar_epi	Latitude (max: 0.35, avg15: 0.36)	Fluorescence (max: 0.27, avg15: 0.35)	ChlorophyllA (max: 0.20, avg15: 0.35)	Mean Flux at 150m (max: 0.33, avg15: 0.32)	PAR.PC (max: 0.50, avg15: 0.37)
salazar_epi-nonpolar	HCO3 (max: 0.62, avg15: 0.54)	Longitude (max: 0.39, avg15: 0.36)	Fluorescence (max: 0.31, avg15: 0.37)	NO3 (max: 0.33, avg15: 0.35)	Latitude (max: 0.21, avg15: 0.31)
salazar_nonpolar	Longitude (max: 0.40, avg15: 0.34)	Fluorescence (max: 0.33, avg15: 0.33)	HCO3 (max: 0.59, avg15: 0.49)	Mean Flux at 150m (max: 0.33, avg15: 0.32)	NO3 (max: 0.25, avg15: 0.32)
salazar_polar	Carbon.total (max: 0.33, avg15: 0.52)	Okubo.Weiss (max: 0.47, avg15: 0.47)	ChlorophyllA (max: 0.14, avg15: 0.43)	NO2NO3 (max: 0.49, avg15: 0.46)	Latitude (max: 0.55, avg15: 0.46)
salazar_srf	Fluorescence (max: 0.32, avg15: 0.41)	ChlorophyllA (max: 0.17, avg15: 0.40)	Mean Flux at 150m (max: 0.30, avg15: 0.38)	PAR.PC (max: 0.58, avg15: 0.47)	Latitude (max: 0.32, avg15: 0.39)
salazar_srf-nonpolar	HCO3 (max: 0.89, avg15: 0.74)	Fluorescence (max: 0.32, avg15: 0.46)	Longitude (max: 0.57, avg15: 0.43)	ChlorophyllA (max: 0.30, avg15: 0.40)	NO3 (max: 0.58, avg15: 0.41)
salazar_srf-polar	Lyapunov (max: 0.62, avg15: 0.72)	Carbon.total (max: 0.30, avg15: 0.60)	Okubo.Weiss (max: 0.53, avg15: 0.53)	ChlorophyllA (max: 0.24, avg15: 0.52)	Latitude (max: 0.68, avg15: 0.51)
stress_all	PAR.PC (max: 0.68, avg15: 0.49)	Fluorescence (max: 0.54, avg15: 0.44)	NO3 (max: 0.34, avg15: 0.40)	Temperature (max: 0.61, avg15: 0.40)	Carbon.total (max: 0.45, avg15: 0.36)
stress_epi	Fluorescence (max: 0.56, avg15: 0.43)	Carbon.total (max: 0.49, avg15: 0.40)	PAR.PC (max: 0.57, avg15: 0.37)	Latitude (max: 0.31, avg15: 0.36)	Temperature (max: 0.52, avg15: 0.39)
stress_epi-nonpolar	HCO3 (max: 0.73, avg15: 0.52)	Fluorescence (max: 0.32, avg15: 0.40)	NO3 (max: 0.52, avg15: 0.41)	CO3 (max: 0.35, avg15: 0.40)	Temperature (max: 0.52, avg15: 0.34)
stress_nonpolar	NO3 (max: 0.48, avg15: 0.52)	Fluorescence (max: 0.44, avg15: 0.49)	Temperature (max: 0.51, avg15: 0.43)	HCO3 (max: 0.71, avg15: 0.45)	Density (max: 0.42, avg15: 0.36)
stress_polar	Oxygen (max: 0.70, avg15: 0.52)	PAR.PC (max: 0.68, avg15: 0.49)	NO3 (max: 0.75, avg15: 0.51)	Okubo.Weiss (max: 0.41, avg15: 0.46)	Lyapunov (max: 0.38, avg15: 0.42)
stress_srf	Carbon.total (max: 0.53, avg15: 0.46)	PAR.PC (max: 0.68, avg15: 0.50)	Fluorescence (max: 0.61, avg15: 0.46)	Oxygen (max: 0.57, avg15: 0.44)	Latitude (max: 0.45, avg15: 0.42)
stress_srf-nonpolar	HCO3 (max: 0.89, avg15: 0.72)	NO3 (max: 0.51, avg15: 0.50)	CO3 (max: 0.33, avg15: 0.42)	Fluorescence (max: 0.31, avg15: 0.39)	Carbon.total (max: 0.35, avg15: 0.37)
stress_srf-polar	Lyapunov (max: 0.57, avg15: 0.74)	CO3 (max: 0.77, avg15: 0.60)	Oxygen (max: 0.75, avg15: 0.52)	Density (max: 0.69, avg15: 0.52)	NO3 (max: 0.77, avg15: 0.52)
