	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	PAR.PC	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2
CsoR	-0.055900621118012424	0.06832298136645963	-0.1880293619424054	0.2264257481648786	-0.043478260869565216	-0.2715979672501412	0.07739938080495357	0.031578947368421054	0.33383458646616543	0.04045697572743003	0.43157894736842106	0.06945228684359118	0.1756070016939582	-0.2323529411764706	-0.2323529411764706	0.1392857142857143	0.07142857142857142	0.4857142857142857	-0.26715686274509803	-0.022764257735835527	-0.1824175824175824	0.2561176640638009	-0.2887218045112782	0.058823529411764705	0.3867871259175607	-0.18125352907961603	-0.09316770186335403	-0.030913048873111054
CueR	0.5652173913043478	0.28063241106719367	-0.5008469791078487	0.6849237718802936	-0.11123658949745906	-0.49181253529079616	0.09391124871001032	-0.5754385964912281	-0.23909774436090225	-0.4896331421371019	-0.24912280701754386	-0.37323546019198195	0.5787690570299266	-0.06470588235294118	-0.7411764705882353	0.04285714285714286	0.047619047619047616	-0.013533834586466165	-0.41421568627450983	-0.561301555029316	-0.2967032967032967	0.038646910945688624	0.14736842105263157	0.4647058823529412	0.3709768492377188	-0.3111236589497459	-0.42518351214003386	0.23528264975645635
CzrA	-0.6691134952004517	-0.21626199887069453	0.52343308865048	-0.7459062676453981	-0.11123658949745906	0.2896668548842462	-0.304437564499484	0.6842105263157895	0.28270676691729324	0.32158108911546945	0.3263157894736842	0.4150197628458498	-0.567476002258611	0.029411764705882353	0.7588235294117647	-0.275	0.047619047619047616	0.1443609022556391	0.31862745098039214	0.49040715236628535	0.15164835164835164	-0.12511118628180554	-0.23308270676691728	-0.25882352941176473	-0.2795031055900621	0.12140033879164314	0.2795031055900621	-0.14712321408128778
DasR	0.6160361377752682	0.21287408243929984	-0.42405420666290233	0.6453980801806889	-0.06267645398080181	-0.5765104460756635	0.009287925696594427	-0.5473684210526316	-0.4	-0.691918020774252	-0.23684210526315788	-0.44664031620553357	0.655561829474873	-0.43529411764705883	-0.6735294117647059	-0.060714285714285714	0.5	-0.039097744360902256	-0.18137254901960784	-0.5665048139403641	-0.17362637362637362	0.04978246155715823	-0.042105263157894736	0.32941176470588235	0.47261434217955955	-0.42179559570863917	-0.47939017504234893	-0.09216668275131258
ExuR_UxuR	0.15979672501411632	-0.06493506493506493	-0.045736871823828344	0.055900621118012424	-0.05251270468661773	-0.020892151326933936	0.05675954592363261	-0.19298245614035087	-0.09022556390977443	0.05601735100721081	-0.20175438596491227	0.015245623941276116	0.18238283455674761	0.05588235294117647	0.17352941176470588	-0.14285714285714285	0.2619047619047619	-0.13533834586466165	0.08333333333333333	0.1951222091643045	0.02857142857142857	-0.0700884656133675	-0.281203007518797	0.13823529411764707	0.024280067758328628	0.08413325804630152	-0.09881422924901186	-0.34405078468036565
FabR	-0.08639186900056466	0.22755505364201017	-0.04912478825522304	-0.0220214568040655	-0.09994353472614342	0.23433088650479955	-0.048503611971104234	0.11228070175438597	0.3548872180451128	0.1493796026858955	0.14912280701754385	0.08074534161490683	0.0378317334839074	-0.2852941176470588	0.041176470588235294	0.010714285714285714	0.023809523809523808	0.19548872180451127	-0.07598039215686274	0.14504084214546636	-0.35824175824175825	0.006550323889099766	0.11428571428571428	0.09705882352941177	-0.19254658385093168	0.3178994918125353	0.057029926595143984	0.08472465246704511
FadP	0.39695087521174477	0.365330321852061	-0.25917560700169395	0.409373235460192	-0.026538678712591756	-0.1756070016939582	0.04643962848297214	-0.2929824561403509	-0.009022556390977444	-0.3516644813230456	-0.28771929824561404	-0.3359683794466403	0.42970073404856013	0.03823529411764706	-0.5911764705882353	0.20714285714285716	0.5	-0.18045112781954886	-0.051470588235294115	-0.4702445240859739	-0.16483516483516483	-0.10415014983668629	0.362406015037594	0.38823529411764707	0.09881422924901186	-0.15753811405985318	-0.19480519480519481	0.14884060568534951
FadR	0.20045172219085264	0.13156408808582723	-0.16544325239977414	0.2727272727272727	-0.251270468661773	-0.47374364765669114	0.19917440660474717	-0.32280701754385965	-0.012030075187969926	-0.4066444739782711	0.1368421052631579	-0.08300395256916997	0.2490118577075099	-0.22941176470588234	-0.45	-0.11785714285714285	0.2619047619047619	0.17293233082706766	-0.38235294117647056	-0.19967506071147162	-0.3230769230769231	0.12052595955943571	-0.23308270676691728	0.4764705882352941	0.3890457368718238	-0.3845285149632976	-0.5076228119706381	0.05953624227413981
FixJ	0.21513269339356295	-0.11349520045172219	-0.21852060982495766	0.31225296442687744	0.18351214003387917	-0.09655561829474874	0.14963880288957687	-0.24035087719298245	-0.03759398496240601	-0.022821883743678478	-0.06666666666666667	-0.06267645398080181	0.22190852625635235	0.18235294117647058	-0.25588235294117645	-0.04285714285714286	0.5476190476190477	-0.019548872180451128	-0.1053921568627451	-0.39089482569249	0.1824175824175824	-0.33537658312190805	0.162406015037594	0.19411764705882353	0.09881422924901186	0.014116318464144552	-0.1259175607001694	0.16715944946200792
FnrN_FixK	0.18238283455674761	0.07961603613777526	-0.017504234895539244	0.16770186335403728	0.0378317334839074	-0.42518351214003386	-0.15789473684210525	-0.3105263157894737	-0.23308270676691728	-0.4491761664096719	0.0017543859649122807	-0.12478825522303783	0.39920948616600793	-0.32941176470588235	-0.4647058823529412	-0.18571428571428572	0.5952380952380952	0.22706766917293233	0.0	-0.431870489616994	-0.07252747252747253	0.09170453444739673	-0.019548872180451128	0.31176470588235294	0.35064935064935066	-0.3675889328063241	-0.4872953133822699	0.12765944256858824
