	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	PAR.PC	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2
DasR	0.06380575945793338	-0.07171089779785432	0.1101072840203275	0.0016939582156973462	-0.09203839638622248	-0.11349520045172219	-0.07120743034055728	-0.16666666666666666	-0.10977443609022557	-0.028008675503605404	0.010526315789473684	0.10559006211180125	0.17221908526256352	-0.2235294117647059	-0.15294117647058825	-0.05	0.11904761904761904	0.1774436090225564	0.04656862745098039	-0.07414643948243571	0.31868131868131866	0.35240742523356744	-0.22706766917293233	-0.36764705882352944	0.28289102202145683	-0.04912478825522304	-0.19254658385093168	-0.19864496220313954
ExuR_UxuR	-0.13156408808582723	-0.04799548277809147	-0.08977978543195934	0.09542631281761717	0.011857707509881422	0.1756070016939582	0.1785345717234262	0.042105263157894736	0.19699248120300752	0.26037694634833175	0.21754385964912282	0.13382269904009034	-0.12478825522303783	-0.09411764705882353	-0.0058823529411764705	0.21071428571428572	-0.5	0.44360902255639095	-0.2181372549019608	-0.0995123266737953	-0.2043956043956044	0.5142004252943316	0.23609022556390977	-0.40588235294117647	-0.17221908526256352	0.17221908526256352	-0.2140033879164314	0.1740290158782548
FUR	-0.34839073969508755	0.07622811970638058	0.23094297007340486	-0.3901750423489554	-0.4330886504799548	0.27837380011293056	-0.6099071207430341	0.2824561403508772	0.07969924812030076	0.12966979399817316	0.12982456140350876	-0.02766798418972332	-0.233201581027668	-0.07352941176470588	0.16176470588235295	-0.13214285714285715	-0.42857142857142855	0.010526315789473684	0.19362745098039216	0.34731753231246204	-0.3802197802197802	-0.017030842111659394	0.03759398496240601	0.020588235294117647	-0.35064935064935066	0.22077922077922077	0.28176171654432525	0.13510147285285573
FabR	-0.033314511575381144	-0.22981366459627328	-0.01637492941840768	-0.16092603049124787	-0.07735742518351214	0.05138339920948617	-0.1434468524251806	0.09473684210526316	-0.23007518796992482	0.20954638710104784	-0.23859649122807017	0.19254658385093168	-0.16092603049124787	0.10882352941176471	0.07058823529411765	0.3678571428571429	-0.30952380952380953	-0.38345864661654133	0.13970588235294118	0.3121955346628872	-0.05934065934065934	0.05174755872388816	-0.1293233082706767	0.10588235294117647	0.0220214568040655	0.06041784302653868	0.49294184076792774	0.1150652374721356
FadP	0.025409373235460192	0.28740824392998304	0.11801242236024845	-0.12027103331451157	-0.269339356295878	-0.21626199887069453	-0.06501547987616099	-0.11929824561403508	-0.04962406015037594	-0.43050371607393495	0.07368421052631578	-0.18464144551101072	0.006211180124223602	-0.08235294117647059	-0.03823529411764706	-0.2785714285714286	0.09523809523809523	-0.06917293233082707	-0.24509803921568626	0.07089440266303064	-0.14285714285714285	-0.11528570044815589	-0.13984962406015036	0.11764705882352941	0.16544325239977414	-0.26143421795595706	0.1101072840203275	-0.07499276671069534
FadR	-0.44438170525127046	0.1383399209486166	0.1417278373800113	-0.3167701863354037	-0.28740824392998304	0.30886504799548276	-0.2549019607843137	0.2824561403508772	0.4842105263157895	0.28631090514796637	0.21754385964912282	0.35177865612648224	-0.18238283455674761	-0.20588235294117646	0.2088235294117647	-0.125	0.3333333333333333	0.13233082706766916	-0.00980392156862745	0.4598380062638776	-0.389010989010989	0.10873537655905613	-0.06766917293233082	0.08235294117647059	-0.25352907961603616	0.3370976849237719	0.032185206098249576	-0.021181163116761277
FixJ	0.18012422360248448	-0.019762845849802372	-0.019762845849802372	-0.06380575945793338	0.032185206098249576	-0.14624505928853754	0.005159958720330237	-0.2824561403508772	-0.4195488721804511	0.045643767487356955	-0.18070175438596492	-0.1225296442687747	0.017504234895539244	0.18823529411764706	0.24705882352941178	-0.12857142857142856	-0.7380952380952381	-0.11578947368421053	0.05392156862745098	0.20292709753087668	-0.5164835164835165	-0.032096587056588854	-0.2887218045112782	0.27058823529411763	0.22868435911914173	-0.07622811970638058	0.10559006211180125	-0.13681886445691743
FnrN_FixK	0.23207227555053642	0.3020892151326934	-0.054771315640880856	0.033314511575381144	-0.19028797289666854	0.16092603049124787	-0.16615067079463364	-0.4421052631578947	-0.3458646616541353	-0.02697131715162002	-0.28771929824561404	-0.3404856013551666	0.251270468661773	-0.23823529411764705	-0.21176470588235294	0.25	-0.19047619047619047	-0.362406015037594	-0.022058823529411766	0.08520336466841297	-0.02857142857142857	0.13821183406000506	0.11729323308270677	-0.15294117647058825	-0.028797289666854884	0.1880293619424054	0.2930547713156409	-0.05896377840611924
FruR	-0.5324675324675324	-0.0502540937323546	0.25917560700169395	-0.4184076792772445	-0.032185206098249576	0.37549407114624506	-0.18472652218782248	0.47017543859649125	0.4180451127819549	0.2676384548122294	0.08947368421052632	0.365330321852061	-0.37662337662337664	0.20294117647058824	0.37941176470588234	-0.06785714285714285	0.40476190476190477	-0.12180451127819548	0.12990196078431374	0.4546347473528295	0.23076923076923078	-0.15196751422711458	0.03609022556390978	-0.17941176470588235	-0.37210615471485037	0.2862789384528515	0.28402032749858835	0.02576087406092588
GguR	0.5437605872388481	0.20045172219085264	-0.37775268210050816	0.4330886504799548	-0.11462450592885376	-0.3958215697346132	-0.05263157894736842	-0.4192982456140351	-0.4556390977443609	-0.5456504931443127	-0.3157894736842105	-0.515527950310559	0.49181253529079616	0.07647058823529412	-0.3029411764705882	0.2892857142857143	0.11904761904761904	-0.46015037593984964	-0.1568627450980392	-0.16650428515353985	-0.0989010989010989	-0.41070530784655535	-0.23759398496240602	0.39705882352941174	0.4579333709768492	-0.25804630152456237	-0.12478825522303783	-0.18547829323866633
