	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	PAR.PC	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2
KdgR	-0.5141398590065634	-0.09926262053318208	0.4943683656105664	-0.315290495097642	-0.13379765395894427	0.3005429057612835	-0.25862068965517243	0.492769744160178	0.19959677419354838	0.2755276709170493	0.15773081201334815	0.37879307620185493	-0.5791826453212771	0.21513269339356295	0.6481203007518797	-0.23478260869565218	-0.21020499444664928	0.04395161290322581	0.19069106776697348	0.3595310940584306	-0.020511337319475013	-0.10830839086921129	0.08835515327427614	-0.217965173231618	-0.43883677298311446	0.04578235151122275	0.22278050328708937	0.018069990372785862
LexA	0.27671987683331983	0.21562272101126326	-0.317721416416822	0.24122842557329227	0.2840909090909091	-0.12000648245685115	0.23645320197044334	-0.07230255839822025	-0.09596774193548387	0.031134961598159885	-0.1167964404894327	-0.13499928866992644	0.281681208090135	0.383399209486166	-0.0481203007518797	0.13652173913043478	-0.11654930385160751	-0.07741935483870968	-0.22110804790158273	-0.2136786400429712	-0.24827902337454083	-0.011067320289692333	-0.020524737468682778	0.177451881991763	0.2654784240150094	0.04983388704318937	-0.03792698273494283	-0.10373817200376612
LiuQ	0.447208492018475	-0.06458147637954785	-0.38432866056235315	0.38886638035815574	-0.12023460410557185	-0.3809253707155012	0.20098522167487684	-0.3842046718576196	-0.48024193548387095	-0.4633417941059493	-0.3196885428253615	-0.3306022243569413	0.42308971779667454	-0.16883116883116883	-0.4120300751879699	0.22	-0.3704602872426096	-0.2875	-0.5209325663713026	-0.14820631908325219	0.005204369170613063	0.04625572326204744	0.07562323056643012	0.09147571189451419	0.24878048780487805	-0.24592820679037355	-0.3703553655954887	-0.04353224953443867
LiuR	0.5770196904626853	0.24398346973502957	-0.4604975285633255	0.6948383437322745	0.28775659824046923	-0.5538449072198364	0.5660098522167488	-0.5862068965517241	-0.4737903225806452	-0.5989295300979359	-0.44293659621802	-0.40402431344725587	0.5224732085542827	0.14285714285714285	-0.30526315789473685	0.2608695652173913	-0.1831489060525261	-0.32620967741935486	-0.42132531274368107	-0.23643266903163523	-0.44971872421356407	0.10726787357701799	0.4064337050616702	0.32447296603865755	0.40431519699812385	-0.4008589255327769	-0.2931237105818124	0.014291719658476091
LldR	-0.37379466817923995	0.049347702779353374	0.23507009156470302	-0.22064662507090188	-0.2437683284457478	0.263106717445912	-0.37142857142857144	0.3508342602892102	0.31290322580645163	0.5239377946357013	0.17330367074527253	0.3963170223272781	-0.33173803567988536	0.005081874647092038	0.08721804511278196	-0.3008695652173913	-0.12383363534233298	0.2028225806451613	0.17147154735224784	0.13573955224271977	0.1781731092527531	0.13403754573071824	0.02096376928619471	-0.13858845329108763	-0.36829268292682926	0.22664289765821247	0.14190202301043778	0.12147961709704679
LtbR	-0.2122194311644113	-0.02033870837047241	0.3797909407665505	-0.41787537476703673	0.0813782991202346	0.3848148448261891	-0.13201970443349753	-0.17953281423804227	0.046370967741935484	0.31335832318148016	0.027363737486095663	0.1461140137587365	-0.32508542650264144	0.1756070016939582	-0.01804511278195489	-0.15478260869565216	-0.2247736574281002	0.1685483870967742	0.4676192880034985	0.10208799979205194	0.09520934188592133	0.07283621045353074	-0.17440538950661463	-0.23556370698286722	-0.18048780487804877	0.29957053723361154	0.07552980322428784	0.15375919080843242
MerR	0.47070739810388135	0.370391378332388	-0.40247953974556355	0.3264727331658699	0.13892961876832843	-0.21416416821975529	0.22758620689655173	-0.6222469410456062	-0.21975806451612903	-0.12788769172577502	-0.12436040044493882	-0.4789067313813557	0.5650661331646861	-0.012987012987012988	-0.6526315789473685	0.1608695652173913	-0.04370598894435282	0.05967741935483871	-0.03225536904384389	-0.3724337618374431	-0.27062719687187925	0.0710389533124696	-0.0222808647387305	0.36296975861951525	0.28836772983114445	0.01401831294060449	-0.15851533809732513	0.06069874038858524
MetJ	-0.1106069200226886	-0.002998136293655295	0.2548415849607001	-0.14512600275504417	-0.030791788856304986	0.4107446722307755	-0.10788177339901478	0.10611790878754171	0.2814516129032258	0.0716438901290991	-0.012235817575083427	0.11374339105482986	-0.13727091131581465	-0.2230378317334839	0.2661654135338346	0.035652173913043476	-0.06868083976969729	0.029838709677419355	0.0429514499702999	0.0252822544318489	0.27828068094631025	0.15730729608340469	0.10262368734341389	-0.2903758068956122	-0.46360225140712946	0.28660562353131835	-0.03209206231418239	0.23104946781203015
MetR	-0.5392593793047565	-0.19617535045782353	0.5076574021554169	-0.5653512681306215	-0.1429618768328446	0.49469248845312375	-0.4039408866995074	0.5003337041156841	0.2762096774193548	0.3535324671791058	0.1657397107897664	0.40232059646283974	-0.5655529094459479	-0.000564652738565782	0.518796992481203	-0.2747826086956522	0.14880848616767745	-0.010887096774193548	0.29263808909725725	0.3365155245066785	0.3790005313658219	-0.23572446292233584	-0.14103897137570787	-0.41503208763362753	-0.49136960600375235	0.2691029900332226	0.297013657528986	-0.03893261562136591
MntR	-0.6082975447694676	-0.288712422007941	0.444291386435459	-0.4193339275585447	-0.2536656891495601	0.2686168057693866	-0.4487684729064039	0.6240266963292548	0.3032258064516129	0.3100104778483447	0.29121245828698555	0.5013795696996066	-0.5834825024724225	0.000564652738565782	0.5142857142857142	-0.37217391304347824	-0.04474660772874217	0.13266129032258064	0.15726581487179844	0.38158768154552636	0.07806553755919594	-0.0617688901638384	-0.11250190323743234	-0.2709440925452745	-0.3827392120075047	0.08159792561380763	0.22075448925210311	-0.07285491573027755
ModE	-0.5437970991005591	-0.19504092050887287	0.5818815331010453	-0.4865894173891905	-0.20087976539589442	0.36228830726845473	-0.37438423645320196	0.47052280311457173	0.28024193548387094	0.22564477545333078	0.20667408231368187	0.49983811147561114	-0.5189846452052401	-0.07961603613777526	0.4766917293233083	-0.4834782608695652	0.09365569059504175	0.15080645161290324	0.3048383064039962	0.3996339803986047	0.20541951255772736	0.06309318489935714	-0.16408814179508424	-0.312007337964856	-0.36378986866791746	0.08046349566485698	0.04830017459407249	-0.0670232370190603
NadQ	-0.5562758285390162	-0.19131350781946357	0.4976095940361397	-0.5496313102665911	-0.09934017595307917	0.4271128757799206	-0.48226600985221674	0.4932146829810901	0.2991935483870968	0.41145019144234946	0.2467185761957731	0.5072208850747477	-0.5078699201164301	-0.0660643704121965	0.3804511278195489	-0.3947826086956522	0.1082243535764927	0.13346774193548386	0.2334753914727975	0.4002442417124769	0.32144633112610094	-0.028661521775869888	-0.22643065988177846	-0.3576535348821587	-0.37166979362101316	0.2644032088161413	0.027715871998612064	-0.03301880059027235
NagC	-0.6220727655781542	-0.17591767279799045	0.5408799935175431	-0.4553115630824082	-0.10410557184750734	0.40912405801798885	-0.3532019704433498	0.5270300333704115	0.30483870967741933	0.36591949491170705	0.2235817575083426	0.5031644160642331	-0.652442475651171	0.1880293619424054	0.518796992481203	-0.2678260869565217	-0.12071177898916492	0.05604838709677419	0.24701261889534337	0.44435741668666845	0.1711319039042766	-0.05798519091949914	-0.03808601016916002	-0.3413382275502714	-0.475422138836773	0.1700834616319585	0.2289395859534476	-0.05002101880466632
NagQ	-0.09294222510331415	-0.14188477432947086	0.11222753423547524	-0.030224455068470952	-0.1532258064516129	0.1078518758609513	-0.31773399014778325	-0.018020022246941044	0.01532258064516129	0.21258817865410246	-0.07630700778642936	0.19000500845250468	-0.14441029677432038	0.08300395256916997	-0.22556390977443608	-0.11739130434782609	-0.4256130828152453	0.05	-0.0838973847668893	0.43154192909535194	-0.19225551994970608	0.3421410041693775	-0.09757482144202669	-0.056828598571742286	-0.24953095684803	0.2668341301353213	-0.03395599522636975	0.04648915704998545
NagR	-0.3104286524592821	0.003484320557491289	0.3318207600680658	-0.5481727574750831	-0.04435483870967742	0.4660076168868001	-0.4206896551724138	0.27474972191323693	0.18870967741935485	0.5098768442365323	0.18531701890989988	0.3839853565353136	-0.2627780625011369	-0.024280067758328628	0.13834586466165413	-0.39043478260869563	0.20500190052470252	0.21330645161290324	0.2481825027466745	0.06782618602751188	0.43135036243492975	0.06545799692706918	-0.375701477835835	-0.3534372195042552	-0.11688555347091932	0.4238716473543473	0.0682361526983373	-0.02767993979831289
NarP	0.31999027631472327	0.12924398346973504	-0.19925451746211814	0.14156065148691355	0.24083577712609971	-0.012073575885260514	0.23103448275862068	-0.24493882091212457	-0.18870967741935485	0.06059600052975204	-0.2872080088987764	-0.0582508949909899	0.12266762287796203	0.1101072840203275	0.07819548872180451	0.09565217391304348	-0.3506885303392119	-0.2532258064516129	0.00952619707512488	0.06974415015682456	-0.28379118947990056	0.29806090797282514	-0.1291851123028857	-0.12997250447537187	0.11707317073170732	0.1431812656997002	0.07674541164527961	-0.2684214933557464
