	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	PAR.PC	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
FUR	-0.3416804968649358	0.21297050208934631	0.16433870746518037	-0.07408212781541842	-0.252457327968535	0.08705096073517127	-0.2130154080461686	-0.19962062859198407	-0.12446186883613433	-0.1505131949821507	-0.0554375395763213	-0.03129656676345359	-0.004975428376212441	-0.07198011863075726	-0.25214212435816336	0.005142794616478827	0.005564830319335635	-0.07524226471003363	0.10266731853564383	0.13514942104635014	0.07973847854737261	-0.1435757940267955	0.12463054187192119	-0.06738607823607541	-0.28746728300135876	-0.06626641229940523	0.1608745164886858	0.1961843518060926	-0.3038713534122622	-0.07175730876552182	-0.13530128475852066
FabR	-0.0787741477751554	0.08489892006006682	-0.00477063305028741	-0.037378685222486725	-0.19606253951129282	0.14914649808601105	-0.13806920936026884	-0.15795071575980874	-0.182264904822086	0.05316237071323391	-0.12728866710181225	-0.09760069649276885	0.11786153866236779	0.026333264275037186	-0.08577889520070124	0.2846044424991793	0.056229285478268116	-0.23101451184788047	0.15428929201705877	0.03219572117245115	-0.07151963215190386	0.014848727578166422	-0.015270935960591134	0.011256614874486199	-0.20735292179317238	0.13547097050632007	0.12701146797568277	0.17320385967544383	-0.14698953340828436	-0.3043689641449934	-0.0925283412383886
FadP	0.08157717873942268	0.2764626447497065	0.02590306612301899	-0.0793352865775499	0.06102328086798951	-0.019095001184553425	0.22387177378680562	-0.006469641806978935	0.018879547637375454	-0.1136809695328474	0.006125591485252775	-0.07223723454485882	0.18057438174419135	0.22431337267905116	0.14523097374922062	-0.015866068497647445	-0.10967965569015102	-0.012740373060077628	-0.15449797659070702	-0.020517064333924178	0.0027918438362424134	-0.060588230284492554	-0.3044334975369458	-0.05706034608729044	0.07981849845334973	-0.08593566684690016	-0.09015267702135193	-0.1874838118333777	0.08917122798582468	-0.10825176661104015	0.010544804612756671
FadR	-0.18941157547063373	0.11572976686721656	0.0278282771605631	-0.015130012818165171	-0.26677922016407496	0.1288120799511216	-0.12306016723922722	-0.06272842755154077	0.07439652749673432	-0.060424943137703566	0.004304773465783143	0.021814572434451236	0.09939135191839318	-0.13833184984441965	-0.04545060470880245	-0.3239960608381661	0.09374114168118594	-0.04542096108282566	-0.014382760483811244	0.17778786348790243	-0.06181583820578068	0.06591963309848967	-0.05714285714285714	-0.047422791267076686	-0.08021688790540697	0.13608308423705123	0.13987570676862418	0.20069456878433	-0.22174427737431876	-0.07904971819291225	-0.043292452955599234
FixJ	0.057195298189919884	-0.01568849448060981	-0.0005112283195551066	-0.009367560886284564	0.08730543685768062	-0.21700769336276013	0.11980442236314562	0.05363028205753794	0.056382262785779506	0.08478393458718503	0.06596531454485971	-0.06211678925630239	-0.11849500172380034	0.22075926736623394	0.05133873741229538	0.16292811029653134	-0.2378877464183919	0.06735875829443501	0.026887359804788027	0.004516637113322887	-0.08727004705968473	-0.03039377995058371	-0.26108374384236455	0.05833531747727728	0.22123796593104958	-0.13545566766305178	0.03475862385601699	-0.08350673940026057	-0.10437300015953847	0.12468399585409325	-0.15348411499987233
FnrN_FixK	-0.06345224186371579	0.205095082351663	-0.004002543672614372	0.002626579381065739	0.02196040095314735	-0.10328058953353533	0.11823188011530657	-0.04229655353075704	0.023426734044944005	-0.07139117207406571	0.007751589469717426	-0.05402641850320306	-0.016008659021006344	0.06311382744113139	-0.027287702111770288	0.2778203304519094	-0.22215922600638285	-0.13730974453401718	-0.09501738140164266	-0.07707646572700062	0.0668440059312581	-0.08872294124609444	-0.06699507389162561	0.013511624513643641	0.021425150384901642	-0.04359780047132757	0.09494815393793775	-0.13068101525762066	-0.044538731118051234	-0.1639981853448692	0.04944616591143084
FruR	-0.18095011278223616	-0.1424757696178985	0.016770782678088257	-0.0003490661051089544	0.08477921767013369	-0.011384181847653961	-0.02724575050144848	0.12200186314333365	0.1720844773050629	0.1735269502732896	0.05611566315970402	0.17831735784420527	-0.20959147906611203	0.06955169080135902	0.09676766801298682	-0.06619980304190831	-0.05567630233961716	-0.03968814928105792	-0.0744674425965943	0.04989122201418721	0.08290779106555596	-0.027284237930455785	0.07783251231527094	0.061723976376447116	0.09701954891276215	0.08937880658226298	0.02642090325044953	-0.06406237265766125	0.03587711998746179	-0.1051403385886869	0.014107155027388837
GguR	0.34938135061729997	0.2746172329049042	-0.26694846569159214	0.30745284746383444	0.07363941400698253	-0.050097881519719695	0.31942992438049206	-0.07903124745572382	-0.11096630385204287	-0.24725951439510346	-0.0914680064348387	-0.18222038812429173	0.3365609196983685	0.017454325023799865	-0.029671854003982145	0.2789145420724368	0.07202080396936396	-0.18592826151621392	-0.144492100454203	-0.1852034769044574	-0.2749325194144538	0.1023624024831	-0.10591133004926108	0.28713584590590313	0.2093741623955216	0.1255088195386703	-0.04359992676308749	0.033741610467222904	0.016303519732949807	0.013158747677868952	0.12137966881522723
GlcC	-0.31053293748442135	0.16379277022515534	0.15399443883340191	-0.13176959348104741	-0.143565560126248	0.07988378907467675	-0.23307405805193784	-0.018883902132935896	0.011355503096112848	0.04091050468883551	-0.009624859037073016	0.12112611798290016	-0.03524448812663369	0.047594655843883255	-0.036752062653581004	-0.16905569537148485	-0.05020246924562915	0.012099437579134651	0.11082798370515262	0.18043324609978365	0.04132569862193011	-0.056367757867430035	0.16798029556650246	-0.10620358067579515	-0.1467742904068221	-0.02290835637261403	0.18782189214525216	0.05441656037257455	-0.08953457026599826	0.012931872717905694	-0.016277962311305315
GntR	-0.25331020749680844	0.16540376488967196	0.19701243157645357	-0.14569218091924557	-0.250916159698146	0.19572064489582164	-0.14841304281272127	-0.06751122034287808	-0.2654744991619935	-0.30195443263049976	-0.14645596131499464	0.1014737993841262	0.16454577113069896	-0.10540894546981744	0.07965957201069081	-0.1694933800196958	0.11965435154556395	-0.09058198722060223	-0.01224648945356971	0.23361317787970004	0.05132505766806365	0.08065939381954049	-0.1812807881773399	-0.1090699621381029	-0.25165617232930204	-0.10574774793156569	0.08269050291726136	0.150505796467394	0.030262895722844286	-0.09950087529817163	0.16741810021543876
