	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	PAR.PC	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
CsoR	0.07791444523739557	0.16241971369799757	-0.0354729020612065	0.03769338959212377	-0.00839595315058142	0.05144620293018765	-0.0934213270750207	-0.12596547671248215	-0.2024777111105082	-0.09063347601310258	-0.058358465681620605	-0.06536249527727635	0.21105327232274043	-0.30700875812081024	-0.06037405026300409	0.048051948051948054	0.09210526315789473	-0.06667283722078243	0.038554878926814744	-0.24481998794830906	-0.22682956929532272	0.11345011430639523	0.24360902255639097	0.07026657552973342	0.07227405230204614	-0.0039942969710821605	-0.2977214656576467	0.12163452495261731	0.0546606334841629	0.05858520379223726	0.0649069185884968
CueR	-0.286050123840309	0.13607741068804835	0.37403971285840226	-0.3930379746835443	-0.28791822341631335	0.30238025271818986	-0.20001389419571652	-0.03326495716593003	-0.0730450441971761	-0.000648540078805743	-0.009410167609248895	0.08452625834347845	0.1703119096595441	-0.34603824836999386	0.04880187025131502	0.016883116883116882	0.06215970961887477	0.01156978896704924	-0.06802051383109656	0.2609301467746617	-0.008484511909169443	0.07638699656695444	-0.42105263157894735	-0.11958988380041012	-0.4226169828278286	-0.13461977993273908	0.04050727866276237	0.1899911174879725	0.03248868778280543	-0.1738108743213678	0.021617115865518198
CzrA	-0.25937198270433653	0.22893665253347886	0.2433776919524789	-0.23731833098921706	-0.42317702867218	0.19820746400235087	-0.3256408483022509	-0.2331509152742968	-0.23468313121329132	-0.3536813319767119	-0.17715797512231854	0.02499895050585618	0.20658242727005582	-0.0074051488195995665	-0.17866744593804793	-0.023376623376623377	-0.038177339901477834	-0.12122053560409725	-0.0283666834859403	0.17604702614770362	0.02329384178699247	-0.05321141122567551	-0.2992481203007519	-0.0801367053998633	-0.34296703364214487	-0.11217770812246275	0.12980848124713346	0.20469133280310164	-0.3812669683257919	-0.0020257677659833075	-0.26635176437899416
DasR	-0.0721632173292473	-0.26608874522480164	0.2387809076025356	-0.2368495077355837	0.01259392972587213	0.01200621300533143	-0.15394234146211025	0.2154076300183822	0.20054828005093056	0.3011495855934468	0.258825888767177	0.21594391503295413	-0.16978716258763277	-0.1331184399570369	-0.08457042665108123	-0.2896103896103896	-0.08789214415348717	0.28440083919535974	0.10687302543371212	0.1057392451616146	0.07114648895470814	-0.015424404467886267	-0.22706766917293233	-0.20062884483937116	0.0025681753175701813	-0.2581926622479076	0.08364002909070378	-0.1573147740320579	0.30117647058823527	-0.1545255651892067	0.05612670186162823
ExuR_UxuR	-0.21627975315897738	0.13181646446412829	-0.04615675244532136	0.07606657290201593	0.006569833340329961	-0.11105747029931573	0.17939562391324615	-0.08514703417049499	0.06801244485011114	-0.02062357450602263	0.17052457828301193	-0.02264808362369338	-0.06481675832248857	0.11560744098363088	-0.05008766803039159	0.08961038961038961	-0.004861291158931812	0.16447611995557201	-0.1620724393841577	-0.1328652693476084	0.03125385659632235	0.052030915288061114	0.23609022556390977	-0.07469583048530416	-0.1317802566982576	-0.007128786147299224	0.0898286411086258	0.17177846134533462	-0.12298642533936652	-0.11530670123976987	-0.08218949708252292
FUR	-0.36937995885982955	0.2621006674782755	0.24786952688803995	-0.24275668073136428	-0.32731623357541667	0.16945132446160951	-0.30327197016560853	-0.22761169266518821	-0.15800432518724403	-0.1832125722626224	-0.055103473279077136	-0.014483019184752949	0.08479912682087234	-0.08755499486703017	-0.1924021040327294	0.1038961038961039	-0.14577391755250194	-0.07250401086017524	-0.015385319856781179	0.13595667820347607	0.005615204245341231	-0.06847990113576365	0.03759398496240601	-0.12585099111414902	-0.35898465789770106	-0.055778670236501564	0.07625588975113773	0.22730340978019492	-0.35873303167420817	-0.05712665100072928	-0.2784662406223951
FabR	-0.08120985684899878	0.05167709164182864	0.06296964862936065	-0.11826066572902016	-0.27761219092397466	0.17732253054027958	-0.1787565131093421	-0.15327651011140245	-0.19114230363548965	0.06332993869538081	-0.12046557190266331	-0.04630368162545653	0.12415515721422274	-0.02587446116965966	-0.20116890707188778	0.4636363636363636	-0.07745657246564687	-0.277181290879921	0.15744768549863716	-0.012137045332015678	-0.16527829199062075	0.12591214217611707	-0.1293233082706767	0.022447026657552972	-0.2614305101710423	0.11222124269435466	0.05761972856080434	0.24957252115460216	-0.16633484162895928	-0.16360100478081194	-0.22823006390664075
FadP	0.008584862096469501	0.2067713362159439	0.06347340581839553	-0.06931551804969527	-0.08347676419965576	-0.023991436127786408	0.18009030956966363	-0.08806475303144255	-0.006624379971216499	-0.14423531352639724	0.04425864077202472	-0.001259392972587213	0.13003232441962975	0.3063118029377891	0.07890122735242548	0.015584415584415584	-0.04485351309307752	-0.03421572257188696	-0.05176519076812834	0.06806542104133993	-0.002838454893249414	-0.09913938525135274	-0.13984962406015036	-0.022064251537935748	-0.0024464608475431586	-0.12478096668516886	0.05617806326117478	-0.1408169459028502	0.052126696832579186	-0.17802447127461307	-0.075743262017227
FadR	-0.27855673565341504	0.18525670626757904	0.10667058477813694	-0.13202062822315988	-0.3635657613030519	0.26029553755090046	-0.12732198710819298	-0.09812125611054606	0.0779168576226096	-0.0497105970404602	-0.04513795151583978	0.028168422820200663	0.12591830737584483	-0.03632878891497669	-0.05604909409701929	-0.2805194805194805	0.11511537464350531	-0.0898741206960385	0.06802051383109656	0.24803113447112934	-0.08752931013204986	0.05464805250824398	-0.06766917293233082	-0.09260423786739576	-0.19073874597934745	0.17848086111383202	0.13873977359118003	0.17345781015848694	-0.27194570135746604	0.08354266266915161	-0.09680466796332314
FixJ	0.0700432391587255	0.04619873221107426	0.13817639897569373	-0.08413033286451008	-0.010431971789597413	-0.1868939171319424	0.04493226825708164	-0.07858586942227282	-0.03207679136547795	0.09964818310850242	0.0391833208647413	0.06173124553964989	0.025691616640779145	0.3149366233276757	0.06972530683810638	-0.13896103896103895	-0.2845475758361421	0.13677033197581143	-0.037387243044826886	0.018363404013551972	-0.1508700481303221	0.0048222145376135405	-0.2887218045112782	0.14107997265892003	0.09587448804028587	-0.22225487315114115	0.12134602314686888	-0.09347586633208432	0.005701357466063348	0.19325824487480756	-0.17399277577104752
