	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	PAR.PC	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
GulR	-0.21680485002440122	-0.013193529434268925	0.27843471730998326	-0.12164139878590495	-0.25980299190299305	0.058498778571461685	-0.30667496311045306	-0.21860991188856005	-0.11706335353465057	-0.10889411053137114	-0.038272703855681	-0.0049707019633853915	-0.03431974754994908	0.13691726409221083	-0.032972813045191465	0.12284753464157476	0.036068897927361496	-0.04767833342888803	-0.05678646576577651	0.0945568471885945	0.023842345877978482	0.1155652226411021	-0.3897504959962168	-0.05849635244681861	-0.2878857233809335	-0.12594363984972512	0.15507104756538434	0.11951684135415659	-0.23310165380942183	0.11778051492949698	-0.16788813256181384
HcpR	-0.03674717399631059	0.1962712779704721	-0.07332974862212663	0.0094612839725025	-0.03175893803016624	-0.021408606088137543	0.011996140681890432	0.0008653916906274495	0.14418885355374675	0.09134729666315927	0.0962836760799556	0.024286787210236478	0.0770070558776185	0.05605974936824317	-0.05572175285304041	-0.051780722055386724	0.09747772747471727	0.11112344054666409	0.06716332466437462	0.08465620775138114	-0.07678973723059764	-0.003959706313510418	-0.04006165334796371	-0.06253695891890995	0.07769253946775143	0.02772962787395967	0.05280431535688692	-0.08442607668191925	0.0641709349661396	-0.13700006510924154	0.06920607836759364
HexR	0.07501591971943151	-0.01748707590365552	0.019260097065326727	0.13224669421913487	0.1252146688380378	-0.07830585312263884	0.027423348900264433	-0.059043654972924686	0.03372420122811784	-0.2182792171099963	-0.01954953185750999	-0.0704856896039021	-0.07265754679191427	0.14129978521546113	-0.16456819751169338	0.182812690073478	0.03046124049636727	0.04933914903323958	-0.04258328924112063	0.02394181276193639	0.03604530245131913	-0.2222061825605488	0.18121038267804956	0.09592312262963039	-0.121513449689661	-0.13583225438242738	0.03952432700207221	0.002505648592897188	-0.3089229831785464	0.05056070536324031	-0.16295897756101205
HisR	-0.026367343107475714	-0.08567508340842653	0.17273827127302058	-0.04129005328413741	0.004895340101515561	0.08013451937829982	-0.17965996664239012	-0.05096583455234167	0.03385388091930043	-0.15357789824204449	0.0491020988024504	-0.01482634418689422	-0.04279393098577887	-0.07105771054558857	-0.18790229790997545	0.07998055190714663	-0.10686191073045108	0.10924069510384561	0.08100390749878064	0.012907717440472593	-0.10712378654485846	0.12630144896162201	0.08242822373786506	-0.10208211901251778	-0.12750695966786096	-0.1240710999167498	-0.04680075057871108	0.0615078307697876	-0.10478322531457317	0.08990730556258245	-0.28515501834625917
HrcA	0.010729803974514026	-0.06599082421031567	-0.3491570520694754	0.15639976501386213	0.2790825847685509	-0.15396952686447474	0.17136696052630795	0.030610425391242983	0.07284008500117325	0.04108944485192931	0.022936587083442574	-0.09833274644144563	-0.050097583066276596	0.02444472893190712	0.03658239915921142	0.06288237920967152	-0.04320298666532959	0.09683945083346732	0.006068673342076683	0.06139349140285341	0.015474275617035444	-0.06437507462705819	0.12479479412776641	0.021854275662009898	0.29582583181097283	0.20234987253049952	-0.02699156344797467	0.026369030347323724	0.022374852027463105	-0.25202566981061325	0.11819458120492243
HutC	-0.2364624442375648	-0.110615895045171	0.29382657105376603	-0.04888587712698527	-0.2309883830006647	0.2807848663381711	-0.3180614721155233	-0.13187621673973748	-0.2914800443350154	-0.21015260304583072	-0.2114103973475542	-0.024872052887902514	-0.04783532840725858	-0.09353030497203306	0.051007593939101765	-0.16903691112290564	-0.005009976074712708	-0.11370611855695527	0.15696012915171448	0.26535448074658147	0.027484994958777757	0.06685486557842119	0.04006165334796371	-0.12443741294123827	-0.378253597841165	-0.20011650311421786	0.09358990628982483	0.19288301111229805	-0.12203612326346037	0.12166979995743854	-0.19091353289805613
HypR	-0.013178456722990981	-0.10545900387411287	-0.3466214869443891	0.17401341894524205	0.22154766932030187	-0.2870681543218174	0.2481956666406075	0.22454295751392808	0.3232515686747493	0.1388354271821872	0.29968297368002916	-0.011320544830577874	-0.16508432512764484	0.17229394849267005	-0.02766691870272496	0.2241400269251951	0.031413428931619684	0.18461148255242793	-0.08118997531351412	-0.03144118682367955	0.052267167302348115	-0.11733365931755053	0.06530598285489975	0.08946351528671666	0.36093009589555075	0.10696353735528498	-0.06174782323029822	-0.06354220970505697	0.1533890458268254	-0.12419783522560056	0.24087920824495415
Irr	-0.020745755562344755	0.04286129816915858	0.06247363614872225	0.046667422470034116	-0.1698909340881278	0.14487254961039442	-0.12038462219785383	0.04494799550483724	-0.08987550751017813	-0.07916052297747024	-0.12179881198374293	0.05208053271872528	0.08401633670637924	0.10941694404381533	-0.04254577731115333	0.029091203783855765	0.2183646414037939	-0.15418270678811918	-0.037523675971252446	0.0434621704581545	0.10559903311816395	-0.03594204527850647	-0.05081793287700602	0.05352427539436392	-0.15202240152603613	0.0470611264011622	0.040008734803916444	0.01483915202943775	-0.2737608270327165	-0.08857846651136908	-0.02689079792156364
IscR	-0.3143395677601149	0.10575798767683939	0.4244429405138807	-0.26971616148082495	-0.38826794862521347	0.4531801178319296	-0.34556039519060017	-0.1821337768248221	-0.24284267862090003	-0.30422240984280224	-0.18719856356760087	3.940402582305976e-05	0.11567399462939984	-0.22541984344229288	-0.03823268352099469	-0.3006361170977852	0.10779066068114343	-0.1421472809327963	0.1724800932883304	0.33373680250469456	0.0962352725807372	0.07605272609812064	-0.05806195786595288	-0.29700503982509996	-0.5019204125547685	-0.13693125137079828	0.09411811692481455	0.22124357769874314	-0.26541567530743954	0.05603811511092468	-0.13020514458203297
KdgR	-0.23722728608043975	0.04777714813491781	0.5626636876480432	-0.05867954280767209	-0.4103095527295545	0.40422099744589324	-0.3639702641749041	-0.15779307682331228	-0.41057587764493153	-0.4976244938919292	-0.3259760100686881	0.06916913156463751	0.08394100548054104	-0.0782158283802307	-0.09538775107869148	-0.1918074633882635	-0.07390154181786747	-0.27622216884003664	0.09088697104289373	0.14515075138396696	-0.07443359885357186	0.13602411980302417	-0.001426853406913776	-0.23106821328786376	-0.6047840615632852	-0.3751376694188759	0.04860310833078576	0.17297933309276084	-0.07030087085422929	0.16072470377968506	-0.29017075825297217
