	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
FnrN_FixK	-0.026259467742633245	0.19731920463973507	0.09655020327846606	-0.0891345632121541	-0.14752573501406144	-0.0077749065597593455	-0.02526441575613739	-0.08786707687120157	-0.15315467367998006	-0.09248453858280473	-0.037522238407835605	0.04405323738906805	0.1266064029096862	0.02464915259658681	-0.10191457221408423	-0.08235294117647059	-0.045325006584234946	-0.0146356119506197	-0.18405677192013742	-0.009860050948112988	0.05063674801943739	-0.1881734151018748	-0.006959874431317701	-0.07798234164422231	-0.01353523587652883	-0.08454573206611762	-0.10435834507415322	-0.0056259449833327875	0.2867051279764255	-0.09344985202272921
FruR	-0.13429987475350608	-0.18240830532075922	-0.06568806509434495	-0.08785946825827455	0.2262532478005995	-0.028447676292472194	0.019375075596767526	0.34945386316492644	0.2758512827205661	0.3214012544747895	0.2221541238583697	0.09568431022118504	-0.2048730018140125	-0.004444368706735486	0.16995331479081088	-0.3352941176470588	0.0035164143598236932	0.2035568323548226	0.13911678105120365	0.18609870961715383	-0.0016513999903737368	0.024469545433566615	-0.07862619650442591	0.3059732570149405	-0.030075713453698312	-0.03948180556412922	0.03129113144562301	0.0355254984260035	-0.13952810037740354	0.06981217270897203
GguR	0.017240550634644438	-0.0987218017481985	0.06693205014390645	0.0023060227889310906	0.13794702305109402	-0.11276724474274955	0.033429829407051165	0.15831294082788708	0.11884407545917076	0.05046001880616638	0.10705925418678502	0.32851047665832506	-0.11051764034589948	0.11510914950444909	0.023581842665230758	0.2323529411764706	-0.20869656806571543	0.01570570731258852	0.1397984277166046	0.09010874314419752	-0.05637644536425697	0.12520764979125187	0.033325858992468524	0.11556672278131384	-0.12024461269656378	0.04992030389142605	-0.13960606170365705	-0.019550158817081435	0.25695209751267256	0.002418192729377043
GlcC	-0.034763825943520496	0.07057938767518264	0.29547472165834515	-0.25779978296256106	-0.1832225523825463	-0.01087356022866707	-0.15881302787247625	0.02916467720892646	0.033207522366301506	0.09781682294343902	0.02143398282915836	-0.0421022275175368	-0.005988752040439418	-0.0714517738236705	-0.2135626354297014	-0.5588235294117647	-0.05849843948446998	0.12402405245218619	0.05269372168786951	0.13265159230498447	0.06971134566105763	0.009540986677297554	-0.10280812005156491	-0.20402649804978681	-0.2326266744321491	-0.0036490656920634803	0.0367143818269769	-0.056353215583050086	0.11541453320416586	-0.1893797431362006
GntR	-0.022753681782161105	0.05891982210987046	0.05830331748194808	-0.1844411285946826	0.23077684258830547	-0.05910625328666504	0.14148641841809825	0.20207114799860942	-0.006437353121082742	-0.02703293341846159	0.05069928583418078	0.12724542933137614	0.017265023587782383	0.09832311077362506	0.20196993828180826	-0.09117647058823529	0.13032776325842083	0.186599936619009	-0.19043503714638912	-0.03743578686203824	0.20219444601238887	-0.1293907316367088	-0.013698430679882204	0.03987303898286973	-0.07677344205008736	-0.028575304387850265	-0.062425363823609366	0.06297542165718138	-0.13761586857199895	0.04902561065414788
GulR	-0.11601324282420462	0.0918120107099776	0.10975906271380993	-0.0478296256104178	-0.16741258859951388	-0.2336147378301508	-0.08696023283629947	-0.17444341719670237	-0.10292356275306588	-0.19609257199988345	0.08573593131663344	-0.017185852172705754	-0.014064236378255743	0.0803063237855512	-0.13466940991025403	-0.014705882352941176	0.04891489825904003	0.1296790948650522	-0.2649657966508532	-0.14369388916714387	0.07373160780990755	0.043960926798568147	0.0650558974040324	-0.20889077084127258	-0.14675596971461852	0.10614168961914759	0.13015118745390047	-0.23310165380942183	0.11778051492949698	-0.16788813256181384
HcpR	-0.18131698807822516	0.15064701541757858	0.002810275316509378	0.04956592512208356	-0.00029968815468552155	-0.04619142668121752	-0.004452568767832772	0.06480541986102206	0.04150528700319588	0.06285102385731248	0.021067953733982105	0.047497193944901483	0.0023807975533758218	0.07309277150000361	0.04556422121925456	0.041176470588235294	0.1655758809309222	0.07521124094083927	0.15505027185495077	0.2128882820044797	0.01541925159551208	-0.08313355991020899	-0.0053931746639332145	-0.07321605420393194	-0.001013395457192778	-0.039108759814940566	0.008008674148062223	0.0641709349661396	-0.13700006510924154	0.06920607836759364
HexR	-0.0601977376373974	-0.024054215283626577	0.12714092654268283	-0.1822571893651655	-0.13415851241639026	-0.03613776568976144	-0.14421770660795094	-0.0876357888196598	0.04167815709979785	-0.1439935313615549	-0.0010044519355999549	-0.08448155498784181	-0.06316182392792055	0.1542879690269019	-0.146699567327879	-0.026470588235294117	0.06733671080080296	0.09709057534170944	0.16702777754699594	0.21717317328686112	0.07334813665109417	-0.12514238184756388	-0.05456658037407158	-0.2268080922027166	-0.12510192195690156	0.21389764993478422	0.044088638005899614	-0.3089229831785464	0.05056070536324031	-0.16295897756101205
HisR	0.010817046036101938	-0.19502913477845893	0.18586832983698143	-0.20419153553988062	-0.09303903579614285	-0.022442621189588976	-0.2648496016597781	-0.042810672249890006	0.06363265936824757	0.0352280425792725	0.06242924148889889	0.02911246034389247	-0.11103225454389758	0.04909318048363198	-0.23371314910422322	0.17647058823529413	-0.06261316912342785	0.03316472471824903	0.20696496878236204	0.003696768949505539	-0.0853223328359764	0.09264487934037563	-0.10269746096018831	-0.024419349308624275	-0.1485614443797321	0.04146233935982166	0.07316271740883078	-0.10478322531457317	0.08990730556258245	-0.28515501834625917
HrcA	0.059349563614702526	-0.11121257785575164	-0.33407218505973957	0.2420510037981552	0.2099287251104655	0.15760725130194345	0.05250617035805355	0.14667392920191488	0.022415489192721617	-0.08031206977594692	-0.18327842902883584	-0.020296157765001956	0.0024147281598372347	0.01025623547708189	0.14879117424253424	0.09705882352941177	0.07089511219775887	-0.1062522379407194	0.09821798112714693	0.1804575362201811	0.03603391889107637	-0.10497458724797783	0.004333177051799472	0.31213233623293685	0.3429586488060571	-0.0686675484506518	0.017866028614799797	0.022374852027463105	-0.25202566981061325	0.11819458120492243
