matrix_type	target_variable	list_top_tfs	correlated_tfs
guidi	CarbonFlux	TyrR, AmtR, SahR_SamR, NnrR, PdhR	{'TyrR': ['BirA', 'NarP', 'IscR', 'KdgR', 'PsrA'], 'AmtR': ['SoxR', 'AgaR', 'IscR', 'FixJ', 'NadQ'], 'SahR_SamR': ['ArgR', 'FUR', 'NsrR', 'NagC', 'NrtR'], 'NnrR': ['FUR', 'CcpA', 'GulR', 'MerR', 'ThiR'], 'PdhR': ['LldR', 'NagC', 'LexA', 'BioQ', 'NagR']}
guidi	NPP	FabR, FadR, FixJ, MerR, NsrR	{'FabR': ['AgaR', 'NagR', 'MerR', 'PdxR', 'FadP'], 'FadR': ['IscR', 'FruR', 'RbsR', 'LtbR', 'SiaR'], 'FixJ': ['NagC', 'ExuR_UxuR', 'MntR', 'NrtR', 'FUR'], 'MerR': ['PdxR', 'CcpA', 'NnrR', 'NifA', 'FabR'], 'NsrR': ['MntR', 'NagC', 'FUR', 'NrtR', 'SahR_SamR']}
salazar	Polar	LiuQ, TyrR, Irr, BirA, NtrC	{'LiuQ': ['NifA', 'MetR', 'KdgR', 'NiaR', 'HcpR'], 'TyrR': ['PhnF', 'MntR', 'BirA', 'ArgR', 'RbkR'], 'Irr': ['TyrR', 'Rex', 'BirA', 'MetR', 'XylR'], 'BirA': ['ArgR', 'FUR', 'MetR', 'Zur', 'MntR'], 'NtrC': ['NsrR', 'Zur', 'NrdR', 'LexA', 'IscR']}
salazar	Temperature	Irr, AgaR, NagQ, NmlR, CcpA	{'Irr': ['TyrR', 'Rex', 'BirA', 'MetR', 'XylR'], 'AgaR': ['NagC', 'BirA', 'Zur', 'NrtR', 'SoxR'], 'NagQ': ['Zur', 'SahR_SamR', 'FUR', 'MntR', 'NagC'], 'NmlR': ['PaaR', 'Irr', 'CueR', 'SahR_SamR', 'MetR'], 'CcpA': ['HutC', 'AgaR', 'NrdR', 'NadQ', 'SoxR']}
salazar	Province	FabR, FadR, AgaR, PsrA, PurR	{'FabR': ['ModE', 'PhnR', 'LldR', 'NrtR', 'ThiR'], 'FadR': ['NiaR', 'MetR', 'BirA', 'FUR', 'CzrA'], 'AgaR': ['NagC', 'BirA', 'Zur', 'NrtR', 'SoxR'], 'PsrA': ['LexA', 'Zur', 'IscR', 'ThiR', 'NagC'], 'PurR': ['NrdR', 'ThiR', 'TrpR', 'AmtR', 'CadR-PbrR']}
salazar	Layer	LiuQ, AcnR, KdgR, NmlR, NifA	{'LiuQ': ['NtrC', 'BirA', 'KdgR', 'MetR', 'FUR'], 'AcnR': ['RbkR', 'KdgR', 'PdhR', 'BirA', 'SoxR'], 'KdgR': ['NagC', 'NrtR', 'FUR', 'SahR_SamR', 'Zur'], 'NmlR': ['PaaR', 'CueR', 'TtrR', 'MntR', 'FUR'], 'NifA': ['NsrR', 'IscR', 'LexA', 'Zur', 'PsrA']}
salazar	Layer2	KdgR, NifA, AcnR, Irr, CadR-PbrR	{'KdgR': ['NagC', 'NrtR', 'FUR', 'SahR_SamR', 'Zur'], 'NifA': ['NsrR', 'IscR', 'LexA', 'Zur', 'PsrA'], 'AcnR': ['RbkR', 'KdgR', 'PdhR', 'BirA', 'SoxR'], 'Irr': ['PhnF', 'BirA', 'LldR', 'MntR', 'KdgR'], 'CadR-PbrR': ['IscR', 'ArgR', 'Zur', 'Phr', 'MetR']}
salazar	NO3	FabR, PaaR, PhnR, NorR, BioQ	{'FabR': ['PhnF', 'CblR', 'ModE', 'XylR', 'TyrR'], 'PaaR': ['Zur', 'NsrR', 'ModE', 'RbkR', 'RutR'], 'PhnR': ['ModE', 'LexA', 'BirA', 'Phr', 'Zur'], 'NorR': ['Zur', 'IscR', 'BirA', 'SahR_SamR', 'ModE'], 'BioQ': ['SoxR', 'LiuR', 'ModE', 'NrtR', 'ThiR']}
salazar	CarbonFlux	Phr, AraR, CueR, PurR, NagQ	{'Phr': ['BirA', 'Zur', 'ArgR', 'NrtR', 'FUR'], 'AraR': ['NrtR', 'IscR', 'Phr', 'RutR', 'ArgR'], 'CueR': ['PdxR', 'MetR', 'Zur', 'SahR_SamR', 'MntR'], 'PurR': ['LldR', 'PaaR', 'NrdR', 'BirA', 'SoxR'], 'NagQ': ['BirA', 'MetR', 'Zur', 'NagC', 'FUR']}
salazar	NPP	NadQ, LtbR, NmlR, HypR, NnrR	{'NadQ': ['ArgR', 'MetR', 'NagC', 'LexA', 'SahR_SamR'], 'LtbR': ['FUR', 'Zur', 'NrtR', 'ModE', 'KdgR'], 'NmlR': ['HrcA', 'LiuR', 'FUR', 'PdxR', 'SahR_SamR'], 'HypR': ['FUR', 'SahR_SamR', 'HutC', 'PdhR', 'NsrR'], 'NnrR': ['NagC', 'NrdR', 'AgaR', 'MetR', 'FnrN_FixK']}
MX	Polar	PurR, AgaR, VanR, FadR, QorR	{'PurR': ['MetR', 'FUR', 'LiuR', 'SahR_SamR', 'GulR'], 'AgaR': ['MetR', 'GulR', 'SahR_SamR', 'FUR', 'KdgR'], 'VanR': ['LexA', 'QorR', 'RutR', 'DasR', 'FabR'], 'FadR': ['FruR', 'Phr', 'DasR', 'NrtR', 'ThiR'], 'QorR': ['AgaR', 'SiaR', 'GulR', 'Irr', 'NtrC']}
MX	Temperature	AgaR, PurR, FabR, LiuQ, SdaR	{'AgaR': ['MetR', 'GulR', 'SahR_SamR', 'FUR', 'KdgR'], 'PurR': ['MetR', 'FUR', 'LiuR', 'SahR_SamR', 'GulR'], 'FabR': ['MetR', 'AgaR', 'PurR', 'GulR', 'FUR'], 'LiuQ': ['CcpA', 'LtbR', 'CblR', 'FadR', 'XylR'], 'SdaR': ['NtrC', 'HrcA', 'GntR', 'NagR', 'PurR']}
MX	Province	AgaR, ExuR_UxuR, FabR, PurR, TrpR	{'AgaR': ['MetR', 'GulR', 'SahR_SamR', 'FUR', 'KdgR'], 'ExuR_UxuR': ['FadP', 'AcnR', 'RbsR', 'NnrR', 'CcpA'], 'FabR': ['MetR', 'AgaR', 'PurR', 'GulR', 'FUR'], 'PurR': ['MetR', 'FUR', 'LiuR', 'SahR_SamR', 'GulR'], 'TrpR': ['NagQ', 'HexR', 'HisR', 'HutC', 'TyrR']}
MX	Layer	GlcC, CadR-PbrR, FadR, PhnR, NrdR	{'GlcC': ['NrtR', 'ArgR', 'MntR', 'Phr', 'RbkR'], 'CadR-PbrR': ['PsrA', 'NrdR', 'CcpA', 'GguR', 'BirA'], 'FadR': ['NsrR', 'NagC', 'NrtR', 'Phr', 'KdgR'], 'PhnR': ['ArgR', 'Phr', 'NrtR', 'NsrR', 'DasR'], 'NrdR': ['HutC', 'PhnF', 'PurR', 'NnrR', 'BioQ']}
MX	Layer2	GlcC, PaaR, GntR, FadR, TtrR	{'GlcC': ['NrtR', 'ArgR', 'MntR', 'Phr', 'RbkR'], 'PaaR': ['SahR_SamR', 'CzrA', 'BirA', 'NrtR', 'ArgR'], 'GntR': ['FUR', 'NagC', 'NsrR', 'MetR', 'KdgR'], 'FadR': ['NsrR', 'NagC', 'NrtR', 'Phr', 'KdgR'], 'TtrR': ['BirA', 'PhnR', 'ArgR', 'CzrA', 'Phr']}
MX	NO3	DasR, MetJ, PhsR, VanR, BioQ	{'DasR': ['NrtR', 'ArgR', 'Phr', 'Zur', 'MntR'], 'MetJ': ['FixJ', 'KdgR', 'MetR', 'BioQ', 'PsrA'], 'PhsR': ['CsoR', 'TrpR', 'TtrR', 'NmlR', 'TyrR'], 'VanR': ['DasR', 'RutR', 'CcpA', 'HisR', 'FruR'], 'BioQ': ['Zur', 'AraR', 'NnrR', 'FruR', 'NtrC']}
MX	CarbonFlux	TrpR, AmtR, TtrR, IscR, LexA	{'TrpR': ['HutC', 'ModE', 'HexR', 'PhrR', 'PhnF'], 'AmtR': ['GntR', 'SiaR', 'VanR', 'GulR', 'NnrR'], 'TtrR': ['GguR', 'PsrA', 'BirA', 'Rex', 'NadQ'], 'IscR': ['MetR', 'FUR', 'SahR_SamR', 'ThiR', 'Zur'], 'LexA': ['GguR', 'PaaR', 'AgaR', 'VanR', 'NagQ']}
MX	NPP	MetR, PurR, NsrR, LiuQ, GlcC	{'MetR': ['FUR', 'KdgR', 'NagC', 'MntR', 'IscR'], 'PurR': ['NnrR', 'Zur', 'FUR', 'IscR', 'SahR_SamR'], 'NsrR': ['Phr', 'NrtR', 'ArgR', 'SahR_SamR', 'ThiR'], 'LiuQ': ['MetR', 'CblR', 'KdgR', 'FUR', 'MntR'], 'GlcC': ['ArgR', 'RbkR', 'MntR', 'NrtR', 'Zur']}
