	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
KdgR	0.06	0.01	0.01	0.0	0.04	0.01	0.0	0.0	0.0	0.04	0.05	0.13	0.03	0.04
LexA	0.04	0.06	0.02	0.07	0.0	0.0	0.01	0.02	0.0	0.01	0.02	0.03	0.0	0.01
LiuQ	0.01	0.03	0.01	0.01	0.01	0.0	0.01	0.02	0.0	0.05	0.01	0.01	0.0	0.0
LiuR	0.06	0.07	0.04	0.06	0.0	0.01	0.03	0.02	0.03	0.01	0.0	0.07	0.06	0.03
LldR	0.03	0.01	0.01	0.0	0.02	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.01	0.02
LtbR	0.04	0.03	0.02	0.03	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.01	0.0
MerR	0.02	0.02	0.03	0.03	0.01	0.0	0.01	0.01	0.0	0.0	0.01	0.01	0.02	0.0
MetJ	0.03	0.01	0.02	0.01	0.01	0.0	0.01	0.0	0.01	0.05	0.01	0.04	0.0	0.05
MetR	0.33	0.25	0.22	0.14	0.16	0.02	0.02	0.03	0.0	0.0	0.04	0.03	0.03	0.02
MntR	0.0	0.02	0.0	0.0	0.0	0.0	0.02	0.02	0.0	0.0	0.03	0.13	0.01	0.04
ModE	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.03	0.06	0.02
NadQ	0.01	0.02	0.01	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.02	0.03	0.01	0.0
NagC	0.08	0.04	0.03	0.01	0.05	0.01	0.01	0.0	0.0	0.01	0.04	0.11	0.03	0.05
NagQ	0.05	0.09	0.05	0.14	0.0	0.0	0.02	0.0	0.01	0.0	0.04	0.07	0.01	0.02
NagR	0.02	0.0	0.01	0.01	0.02	0.01	0.0	0.0	0.01	0.02	0.03	0.08	0.0	0.0
NarP	0.02	0.01	0.0	0.01	0.0	0.01	0.0	0.04	0.0	0.01	0.01	0.0	0.0	0.01
NiaR	0.0	0.0	0.01	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01
NifA	0.09	0.07	0.01	0.01	0.0	0.02	0.22	0.14	0.06	0.04	0.0	0.0	0.0	0.0
NikR	0.03	0.0	0.0	0.0	0.0	0.08	0.02	0.02	0.0	0.02	0.01	0.01	0.0	0.0
NmlR	0.0	0.0	0.0	0.0	0.03	0.01	0.02	0.02	0.02	0.02	0.02	0.0	0.0	0.01
NnrR	0.01	0.01	0.02	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.01	0.0
NorR	0.04	0.04	0.02	0.02	0.04	0.0	0.11	0.12	0.01	0.01	0.0	0.01	0.02	0.02
NrdR	0.14	0.07	0.04	0.01	0.03	0.01	0.0	0.0	0.0	0.0	0.0	0.03	0.01	0.06
NrtR	0.02	0.0	0.03	0.0	0.03	0.02	0.0	0.0	0.0	0.01	0.03	0.09	0.04	0.05
NsrR	0.05	0.02	0.04	0.0	0.04	0.01	0.0	0.0	0.0	0.0	0.01	0.1	0.0	0.0
NtrC	0.26	0.31	0.2	0.21	0.08	0.0	0.01	0.02	0.01	0.0	0.0	0.02	0.04	0.05
PaaR	0.04	0.04	0.06	0.03	0.0	0.01	0.07	0.03	0.0	0.01	0.03	0.0	0.03	0.05
PdhR	0.12	0.1	0.02	0.0	0.01	0.0	0.09	0.01	0.03	0.0	0.0	0.01	0.0	0.06
PdxR	0.04	0.07	0.02	0.04	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.02	0.0	0.01
PhnF	0.07	0.08	0.13	0.03	0.1	0.0	0.08	0.01	0.0	0.01	0.04	0.01	0.03	0.02
PhnR	0.08	0.09	0.07	0.06	0.01	0.01	0.05	0.06	0.03	0.0	0.0	0.0	0.0	0.02
Phr	0.0	0.01	0.0	0.01	0.01	0.04	0.0	0.0	0.0	0.0	0.03	0.11	0.03	0.12
PhrR	0.07	0.09	0.03	0.03	0.03	0.0	0.0	0.02	0.0	0.0	0.01	0.0	0.02	0.01
PhsR	0.02	0.01	0.01	0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.01	0.0	0.01	0.02
PrpR	0.01	0.0	0.0	0.0	0.0	0.01	0.02	0.01	0.02	0.0	0.01	0.0	0.03	0.01
PsrA	0.04	0.01	0.0	0.0	0.03	0.03	0.1	0.03	0.0	0.01	0.02	0.11	0.0	0.03
PurR	0.15	0.11	0.09	0.07	0.04	0.0	0.07	0.06	0.0	0.02	0.01	0.01	0.0	0.0
QorR	0.02	0.02	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.01	0.05
RbkR	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.02	0.11	0.03	0.02
RbsR	0.03	0.01	0.0	0.01	0.0	0.0	0.0	0.01	0.01	0.0	0.02	0.0	0.02	0.11
Rex	0.08	0.13	0.07	0.03	0.0	0.02	0.04	0.01	0.0	0.0	0.02	0.07	0.03	0.02
RutR	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.02	0.02	0.0	0.01	0.0	0.0	0.0
SahR_SamR	0.14	0.08	0.12	0.01	0.05	0.01	0.07	0.0	0.0	0.0	0.08	0.07	0.04	0.02
SdaR	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.06	0.0	0.02	0.0	0.01	0.0	0.02
SiaR	0.02	0.01	0.01	0.0	0.02	0.0	0.03	0.0	0.0	0.0	0.01	0.01	0.06	0.0
SoxR	0.0	0.01	0.0	0.0	0.01	0.02	0.02	0.0	0.01	0.0	0.02	0.0	0.04	0.01
ThiR	0.0	0.0	0.01	0.02	0.02	0.04	0.0	0.01	0.0	0.01	0.06	0.04	0.05	0.04
TrpR	0.03	0.06	0.01	0.06	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.04	0.0
TtrR	0.0	0.02	0.05	0.0	0.0	0.0	0.02	0.01	0.07	0.0	0.01	0.01	0.0	0.0
TyrR	0.1	0.14	0.05	0.03	0.02	0.02	0.0	0.0	0.0	0.11	0.0	0.02	0.03	0.0
VanR	0.05	0.04	0.0	0.0	0.0	0.0	0.22	0.11	0.01	0.0	0.02	0.06	0.0	0.03
XylR	0.0	0.0	0.0	0.0	0.01	0.03	0.05	0.04	0.02	0.07	0.0	0.0	0.0	0.01
ZntR	0.04	0.03	0.0	0.0	0.0	0.0	0.21	0.1	0.0	0.0	0.03	0.0	0.05	0.01
Zur	0.01	0.0	0.01	0.0	0.01	0.0	0.01	0.02	0.0	0.0	0.01	0.06	0.03	0.01
