	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
PdhR	0.0	0.07	0.05	0.02	0.01	0.0	0.01	0.03	0.01	0.01	0.01	0.0	0.01	0.0
PdxR	0.13	0.12	0.0	0.03	0.0	0.03	0.37	0.23	0.01	0.01	0.01	0.02	0.04	0.03
PhnF	0.12	0.09	0.01	0.02	0.04	0.04	0.43	0.27	0.01	0.01	0.0	0.0	0.04	0.04
PhnR	0.1	0.15	0.0	0.02	0.01	0.03	0.32	0.22	0.01	0.0	0.0	0.02	0.01	0.02
Phr	0.14	0.09	0.01	0.01	0.02	0.03	0.37	0.19	0.0	0.01	0.01	0.03	0.01	0.04
PhrR	0.1	0.1	0.0	0.01	0.01	0.01	0.29	0.14	0.0	0.0	0.0	0.0	0.0	0.0
PhsR	0.08	0.0	0.03	0.01	0.01	0.0	0.08	0.01	0.0	0.0	0.02	0.01	0.01	0.0
PrpR	0.02	0.02	0.01	0.0	0.01	0.0	0.06	0.0	0.03	0.02	0.0	0.0	0.0	0.0
PsrA	0.04	0.14	0.12	0.07	0.03	0.01	0.06	0.01	0.0	0.04	0.0	0.05	0.02	0.01
PurR	0.46	0.09	0.32	0.19	0.2	0.0	0.1	0.08	0.01	0.0	0.03	0.0	0.01	0.07
QorR	0.32	0.03	0.16	0.08	0.08	0.0	0.15	0.08	0.01	0.0	0.02	0.0	0.0	0.02
RbkR	0.2	0.02	0.05	0.03	0.05	0.03	0.27	0.14	0.0	0.0	0.0	0.06	0.01	0.07
RbsR	0.18	0.0	0.11	0.05	0.11	0.0	0.2	0.12	0.0	0.0	0.03	0.01	0.0	0.01
Rex	0.0	0.04	0.0	0.0	0.0	0.02	0.01	0.01	0.0	0.04	0.0	0.06	0.02	0.08
RutR	0.0	0.22	0.06	0.02	0.02	0.07	0.14	0.05	0.0	0.01	0.0	0.01	0.01	0.01
SahR_SamR	0.37	0.0	0.16	0.1	0.12	0.01	0.31	0.16	0.0	0.01	0.01	0.01	0.02	0.07
SdaR	0.13	0.15	0.09	0.06	0.06	0.02	0.0	0.01	0.0	0.01	0.01	0.0	0.02	0.0
SiaR	0.42	0.02	0.21	0.15	0.19	0.0	0.23	0.15	0.01	0.01	0.06	0.01	0.0	0.03
SoxR	0.08	0.11	0.11	0.02	0.02	0.0	0.0	0.01	0.01	0.01	0.0	0.03	0.02	0.01
ThiR	0.2	0.03	0.05	0.03	0.06	0.01	0.32	0.13	0.0	0.02	0.01	0.04	0.03	0.07
TrpR	0.03	0.32	0.13	0.01	0.07	0.04	0.14	0.09	0.0	0.02	0.04	0.0	0.01	0.0
TtrR	0.01	0.13	0.04	0.0	0.0	0.01	0.2	0.1	0.0	0.01	0.01	0.01	0.01	0.01
TyrR	0.0	0.19	0.02	0.02	0.02	0.03	0.18	0.07	0.0	0.0	0.01	0.03	0.0	0.0
VanR	0.16	0.05	0.18	0.05	0.12	0.0	0.02	0.07	0.0	0.0	0.02	0.04	0.04	0.0
XylR	0.17	0.02	0.02	0.02	0.05	0.02	0.26	0.12	0.0	0.01	0.01	0.01	0.02	0.03
ZntR	0.1	0.0	0.0	0.01	0.0	0.01	0.13	0.05	0.0	0.01	0.01	0.02	0.0	0.01
Zur	0.25	0.0	0.08	0.05	0.07	0.01	0.24	0.11	0.0	0.02	0.0	0.02	0.03	0.07
