	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
SiaR	0.01	0.07	0.01	0.03	0.0	0.02	0.03	0.07	0.11	0.01	0.0	0.07	0.03	0.03		
SoxR	0.19	0.04	0.0	0.01	0.01	0.01	0.08	0.06	0.17	0.0	0.0	0.0	0.02	0.03		
ThiR	0.0	0.11	0.09	0.0	0.02	0.01	0.01	0.0	0.0	0.02	0.08	0.02	0.05	0.0		
TrpR	0.2	0.09	0.0	0.07	0.02	0.08	0.0	0.0	0.0	0.06	0.01	0.0	0.01	0.01		
TtrR	0.01	0.03	0.41	0.0	0.0	0.01	0.03	0.02	0.01	0.02	0.1	0.19	0.01	0.01		
TyrR	0.08	0.28	0.01	0.06	0.01	0.15	0.07	0.03	0.01	0.06	0.02	0.21	0.0	0.03		
VanR	0.03	0.0	0.05	0.02	0.03	0.01	0.17	0.18	0.01	0.01	0.05	0.01	0.03	0.3		
XylR	0.0	0.03	0.0	0.01	0.11	0.07	0.02	0.01	0.07	0.03	0.0	0.01	0.07	0.02		
ZntR	0.0	0.0	0.04	0.01	0.01	0.0	0.12	0.12	0.0	0.02	0.2	0.0	0.0	0.26		
Zur	0.0	0.03	0.0	0.0	0.03	0.0	0.15	0.21	0.05	0.0	0.04	0.14	0.01	0.19		
