	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
RbsR	0.15	0.22	0.01	0.09	0.11	0.01	0.0	0.05	0.0	0.06	0.01	0.01	0.08	0.07		
Rex	0.0	0.03	0.08	0.09	0.02	0.02	0.19	0.12	0.03	0.22	0.02	0.08	0.01	0.18		
RutR	0.03	0.0	0.01	0.0	0.02	0.01	0.01	0.07	0.0	0.01	0.02	0.01	0.0	0.1		
SahR_SamR	0.07	0.13	0.13	0.02	0.06	0.08	0.15	0.15	0.04	0.16	0.04	0.14	0.04	0.15		
SdaR	0.0	0.22	0.01	0.02	0.01	0.02	0.0	0.0	0.0	0.04	0.02	0.05	0.09	0.0		
SiaR	0.1	0.0	0.06	0.0	0.04	0.05	0.0	0.04	0.04	0.16	0.0	0.13	0.06	0.05		
SoxR	0.07	0.02	0.0	0.04	0.01	0.02	0.1	0.05	0.0	0.02	0.06	0.16	0.02	0.06		
ThiR	0.0	0.0	0.03	0.07	0.0	0.02	0.1	0.03	0.01	0.08	0.22	0.03	0.01	0.11		
TrpR	0.1	0.02	0.07	0.0	0.04	0.04	0.04	0.02	0.09	0.1	0.02	0.1	0.06	0.03		
TtrR	0.11	0.12	0.02	0.07	0.15	0.35	0.01	0.01	0.12	0.17	0.02	0.19	0.26	0.0		
TyrR	0.08	0.03	0.13	0.05	0.12	0.0	0.0	0.04	0.02	0.13	0.01	0.0	0.22	0.01		
VanR	0.26	0.15	0.02	0.08	0.06	0.01	0.04	0.02	0.0	0.09	0.18	0.13	0.02	0.01		
XylR	0.18	0.09	0.06	0.05	0.17	0.11	0.08	0.0	0.17	0.39	0.01	0.15	0.09	0.0		
ZntR	0.14	0.04	0.23	0.02	0.15	0.04	0.01	0.0	0.01	0.04	0.0	0.0	0.08	0.01		
Zur	0.17	0.1	0.07	0.1	0.25	0.0	0.18	0.13	0.0	0.2	0.07	0.01	0.21	0.22		
