	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Si	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
NiaR	0.05	0.08	0.01	0.12	0.0	0.06	0.03	0.01	0.04	0.01	0.01	0.03	0.0	0.0	0.0	0.02
NifA	0.1	0.11	0.02	0.04	0.03	0.0	0.03	0.02	0.01	0.01	0.0	0.0	0.01	0.03	0.08	0.01
NikR	0.01	0.0	0.0	0.01	0.0	0.01	0.02	0.01	0.0	0.0	0.0	0.02	0.01	0.0	0.0	0.0
NmlR	0.06	0.04	0.04	0.0	0.04	0.0	0.0	0.0	0.0	0.03	0.2	0.05	0.05	0.0	0.03	0.01
NnrR	0.01	0.02	0.05	0.01	0.02	0.01	0.0	0.01	0.02	0.0	0.01	0.0	0.03	0.03	0.03	0.06
NorR	0.0	0.01	0.0	0.02	0.18	0.05	0.03	0.0	0.0	0.01	0.25	0.09	0.54	0.01	0.0	0.05
NrdR	0.02	0.01	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.02	0.01	0.0	0.0	0.0	0.02
NrtR	0.02	0.01	0.03	0.01	0.01	0.1	0.01	0.02	0.0	0.01	0.0	0.04	0.0	0.0	0.07	0.02
NsrR	0.0	0.0	0.02	0.0	0.0	0.08	0.0	0.0	0.0	0.05	0.0	0.02	0.0	0.01	0.05	0.03
NtrC	0.03	0.05	0.03	0.06	0.01	0.01	0.01	0.03	0.0	0.01	0.02	0.0	0.09	0.01	0.0	0.01
PaaR	0.02	0.03	0.1	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.06
PdhR	0.11	0.1	0.02	0.04	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.07	0.01	0.0	0.0
PdxR	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.02	0.02	0.0	0.01	0.0	0.0	0.0
PhnF	0.03	0.01	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.09	0.02	0.0	0.01	0.02
PhnR	0.0	0.01	0.02	0.01	0.05	0.02	0.01	0.0	0.0	0.01	0.02	0.0	0.13	0.0	0.08	0.16
Phr	0.0	0.0	0.02	0.0	0.02	0.11	0.0	0.0	0.0	0.01	0.01	0.03	0.04	0.0	0.12	0.03
PhrR	0.01	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.01	0.01	0.02	0.03	0.0	0.01	0.0	0.0
PhsR	0.04	0.04	0.0	0.0	0.04	0.0	0.03	0.0	0.01	0.12	0.0	0.0	0.06	0.01	0.01	0.0
PrpR	0.05	0.04	0.01	0.09	0.03	0.03	0.11	0.1	0.08	0.03	0.04	0.06	0.06	0.07	0.01	0.01
PsrA	0.01	0.03	0.02	0.05	0.01	0.0	0.0	0.02	0.0	0.02	0.03	0.0	0.0	0.0	0.01	0.02
PurR	0.03	0.03	0.01	0.0	0.0	0.03	0.1	0.02	0.1	0.13	0.0	0.0	0.0	0.02	0.0	0.05
QorR	0.04	0.05	0.05	0.02	0.02	0.01	0.06	0.02	0.0	0.0	0.02	0.01	0.02	0.03	0.02	0.0
RbkR	0.04	0.04	0.05	0.05	0.0	0.14	0.01	0.0	0.02	0.01	0.0	0.01	0.02	0.0	0.1	0.04
RbsR	0.04	0.04	0.0	0.08	0.0	0.06	0.02	0.04	0.01	0.01	0.0	0.01	0.0	0.01	0.03	0.03
Rex	0.0	0.01	0.02	0.0	0.02	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.0
RutR	0.07	0.04	0.02	0.04	0.0	0.12	0.0	0.01	0.0	0.03	0.01	0.03	0.01	0.0	0.04	0.02
SahR_SamR	0.02	0.03	0.04	0.01	0.01	0.03	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.06	0.02
SdaR	0.0	0.01	0.02	0.02	0.0	0.0	0.01	0.0	0.01	0.01	0.0	0.01	0.02	0.0	0.0	0.0
SiaR	0.02	0.0	0.01	0.01	0.0	0.07	0.03	0.01	0.03	0.06	0.0	0.01	0.01	0.01	0.01	0.09
SoxR	0.01	0.01	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.07	0.02
ThiR	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.03	0.0	0.03	0.01	0.0	0.05	0.01
TrpR	0.03	0.04	0.02	0.04	0.0	0.01	0.01	0.02	0.01	0.0	0.0	0.02	0.01	0.01	0.0	0.02
TtrR	0.01	0.03	0.01	0.02	0.01	0.05	0.0	0.0	0.02	0.04	0.02	0.02	0.18	0.02	0.02	0.0
TyrR	0.15	0.15	0.07	0.02	0.01	0.01	0.0	0.02	0.02	0.03	0.0	0.0	0.0	0.01	0.01	0.01
VanR	0.01	0.02	0.02	0.01	0.02	0.0	0.0	0.0	0.02	0.02	0.02	0.0	0.01	0.0	0.01	0.0
XylR	0.11	0.1	0.01	0.1	0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.02	0.01	0.01	0.01
ZntR	0.07	0.07	0.02	0.04	0.02	0.0	0.0	0.0	0.0	0.0	0.06	0.02	0.16	0.01	0.01	0.02
Zur	0.02	0.02	0.05	0.01	0.02	0.09	0.0	0.01	0.0	0.02	0.01	0.01	0.01	0.0	0.09	0.03
