	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	Mean Flux at 150m	NPP 8d VGPM (mgC/m2/day)
MetJ	0.05	0.02	0.03	0.0	0.01	0.03	0.08	0.04	0.01	0.01	0.01	0.02	0.0	0.04
MetR	0.33	0.32	0.23	0.18	0.16	0.01	0.0	0.02	0.0	0.02	0.05	0.02	0.05	0.12
MntR	0.15	0.12	0.16	0.07	0.08	0.0	0.0	0.0	0.01	0.03	0.02	0.03	0.04	0.04
ModE	0.07	0.08	0.08	0.04	0.04	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.01
NadQ	0.11	0.09	0.1	0.06	0.08	0.0	0.0	0.0	0.0	0.03	0.06	0.0	0.0	0.01
NagC	0.22	0.2	0.15	0.06	0.09	0.0	0.0	0.0	0.0	0.04	0.05	0.04	0.01	0.05
NagQ	0.08	0.09	0.04	0.02	0.02	0.0	0.05	0.03	0.0	0.0	0.01	0.0	0.01	0.0
NagR	0.07	0.09	0.07	0.0	0.06	0.0	0.02	0.04	0.01	0.0	0.03	0.02	0.01	0.0
NarP	0.01	0.02	0.01	0.03	0.0	0.03	0.06	0.12	0.0	0.01	0.05	0.0	0.03	0.0
NiaR	0.04	0.02	0.01	0.0	0.0	0.0	0.01	0.0	0.05	0.02	0.0	0.0	0.01	0.02
NifA	0.12	0.11	0.06	0.08	0.03	0.0	0.01	0.01	0.0	0.03	0.03	0.03	0.06	0.02
NikR	0.06	0.05	0.03	0.0	0.0	0.0	0.13	0.12	0.07	0.01	0.0	0.02	0.01	0.0
NmlR	0.16	0.12	0.05	0.11	0.05	0.0	0.01	0.03	0.0	0.0	0.01	0.0	0.0	0.0
NnrR	0.31	0.34	0.22	0.1	0.17	0.0	0.03	0.03	0.0	0.03	0.03	0.01	0.0	0.05
NorR	0.01	0.01	0.02	0.0	0.0	0.04	0.01	0.0	0.0	0.0	0.04	0.01	0.16	0.13
NrdR	0.01	0.0	0.0	0.0	0.01	0.04	0.16	0.01	0.0	0.01	0.0	0.01	0.0	0.0
NrtR	0.1	0.08	0.07	0.03	0.05	0.0	0.0	0.0	0.01	0.03	0.02	0.04	0.01	0.04
NsrR	0.2	0.22	0.18	0.08	0.1	0.0	0.0	0.0	0.0	0.04	0.01	0.0	0.01	0.02
NtrC	0.42	0.4	0.26	0.12	0.15	0.0	0.01	0.02	0.0	0.01	0.02	0.01	0.0	0.08
PaaR	0.07	0.06	0.1	0.01	0.05	0.0	0.02	0.01	0.01	0.04	0.0	0.02	0.0	0.01
PdhR	0.0	0.0	0.0	0.0	0.01	0.01	0.02	0.08	0.03	0.0	0.0	0.0	0.02	0.08
PdxR	0.18	0.19	0.14	0.16	0.13	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.01	0.01
PhnF	0.3	0.28	0.2	0.14	0.13	0.01	0.02	0.01	0.01	0.01	0.06	0.01	0.08	0.12
PhnR	0.01	0.01	0.05	0.01	0.02	0.03	0.1	0.08	0.12	0.07	0.0	0.03	0.0	0.02
Phr	0.05	0.04	0.04	0.02	0.04	0.0	0.0	0.0	0.0	0.06	0.01	0.02	0.02	0.04
PhrR	0.04	0.04	0.01	0.01	0.01	0.0	0.03	0.0	0.0	0.0	0.0	0.02	0.01	0.02
PhsR	0.13	0.12	0.04	0.01	0.02	0.0	0.11	0.05	0.0	0.0	0.0	0.0	0.0	0.01
PrpR	0.15	0.13	0.15	0.08	0.06	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.01	0.03
PsrA	0.14	0.19	0.16	0.11	0.01	0.0	0.02	0.05	0.0	0.02	0.0	0.15	0.01	0.01
PurR	0.4	0.46	0.28	0.25	0.15	0.0	0.02	0.06	0.02	0.01	0.01	0.02	0.01	0.01
QorR	0.08	0.06	0.04	0.0	0.02	0.01	0.0	0.01	0.01	0.04	0.01	0.01	0.0	0.01
RbkR	0.17	0.15	0.1	0.07	0.11	0.0	0.01	0.01	0.0	0.03	0.02	0.03	0.05	0.09
RbsR	0.06	0.07	0.08	0.03	0.04	0.0	0.02	0.05	0.0	0.01	0.05	0.0	0.0	0.0
Rex	0.0	0.0	0.01	0.0	0.0	0.01	0.06	0.05	0.0	0.03	0.0	0.0	0.0	0.02
RutR	0.03	0.05	0.0	0.02	0.01	0.0	0.03	0.05	0.02	0.03	0.0	0.01	0.0	0.0
SahR_SamR	0.36	0.35	0.3	0.17	0.17	0.0	0.0	0.01	0.0	0.02	0.02	0.01	0.05	0.1
SdaR	0.03	0.03	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.02
SiaR	0.28	0.26	0.2	0.13	0.12	0.0	0.01	0.04	0.0	0.01	0.04	0.0	0.0	0.05
SoxR	0.09	0.12	0.02	0.06	0.05	0.02	0.01	0.0	0.01	0.0	0.0	0.02	0.02	0.04
ThiR	0.18	0.15	0.15	0.04	0.13	0.0	0.0	0.0	0.0	0.03	0.03	0.04	0.05	0.11
TrpR	0.06	0.05	0.03	0.01	0.02	0.0	0.01	0.0	0.0	0.02	0.0	0.0	0.01	0.0
TtrR	0.02	0.03	0.06	0.0	0.04	0.01	0.02	0.02	0.0	0.02	0.0	0.05	0.0	0.0
TyrR	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.02	0.02	0.0	0.0
VanR	0.05	0.06	0.04	0.0	0.05	0.01	0.01	0.04	0.0	0.02	0.0	0.04	0.01	0.0
XylR	0.25	0.24	0.2	0.08	0.12	0.0	0.0	0.0	0.0	0.04	0.03	0.0	0.01	0.05
ZntR	0.0	0.0	0.01	0.05	0.0	0.0	0.04	0.01	0.01	0.01	0.01	0.0	0.0	0.0
Zur	0.16	0.17	0.13	0.07	0.05	0.0	0.01	0.0	0.0	0.04	0.0	0.01	0.08	0.12
